demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	21	13	nan
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	25	26	this article
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	22	27	one has alleged that the donations
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	11	12	a clash
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	16	16	this
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	26	21	nan
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	20	16	nan
The woman won the bet	the bet	His credentials are excellent for the task	0	2	The woman won
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	22	29	small investors went for the safety of money
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	16	24	a glorious past[SEP]But the brand had trouble
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	33	22	nan
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	0	25	He visits the same department every two or three weeks[SEP] the same department[SEP]Other magazine publishing companies have been moving in the same direction
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	20	16	nan
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	36	32	nan
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	24	25	the future
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	0	28	He hit the lanes three years ago on the advice of his doctor[SEP] the lanes[SEP]This occurred partly because of more competition as the number of new
They have about seven candidates	about seven candidates	The agreement is subject to government approval	15	15	government
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The board expands to seven members	28	29	seven members
Bolar has denied any wrongdoing	any wrongdoing	Demand will come first from programming production companies and then from television stations	13	22	first from programming production companies and then from television stations
Integrated made its announcement after the market closed	its announcement	Such animosity could prove pivotal in the union vote	19	21	the union vote
