demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	16	22	some analysts remain sour on the company
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	25	13	nan
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	25	30	that the donations were by themselves
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	23	25	a personal computer
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	18	9	nan
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	19	24	about the state of our society
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	20	21	the board
The woman won the bet	the bet	His credentials are excellent for the task	14	15	the task
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	26	29	the safety of money
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	26	24	nan
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	33	35	the black market
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	23	18	nan
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	23	21	nan
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	29	27	nan
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	24	20	nan
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	22	29	more competition as the number of new businesses
They have about seven candidates	about seven candidates	The agreement is subject to government approval	6	15	about seven candidates[SEP]The agreement is subject to government
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The board expands to seven members	28	22	nan
Bolar has denied any wrongdoing	any wrongdoing	Demand will come first from programming production companies and then from television stations	13	22	first from programming production companies and then from television stations
Integrated made its announcement after the market closed	its announcement	Such animosity could prove pivotal in the union vote	19	21	the union vote
Some even see a silver lining in the dark clouds	a silver lining	But the outcome of a legal dispute almost always turns on the facts	22	27	almost always turns on the facts
The Bakersfield Supermarket went out of business last May	last May	Soaring rights fees will lead to an even greater clutter of commercials	23	28	an even greater clutter of commercials
He had been vice president in that office	vice president in that office	The majority of the bikes never even make it into the high country	26	27	high country
Most British programming is more of an acquired taste	more of an acquired taste	The tape was on tv before the night was out	22	24	the night was
Americans may not be so lucky the next time	the next time	Part of the answer lies in the nature of the industry	20	21	the nature
And the naczelnik shuts his door	his door	Some would make even James Bond green with envy	16	21	even James Bond green with envy
Her story is becoming part of local folklore	part of local folklore	Each company worries that the other is becoming too powerful and too vertically integrated	17	27	that the other is becoming too powerful and too vertically integrated
One bank stock was a winner	a winner	The stock market is certainly not too big for the Fed to handle	19	20	the Fed
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Soaring rights fees will lead to an even greater clutter of commercials	32	37	an even greater clutter of commercials
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The latest rebate is good for all Beretta models	22	25	all Beretta models
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The youthful audience for Saturday programming is no longer dependent on the networks	39	44	no longer dependent on the networks
The fund made a similar move earlier this year	a similar move	This starts in the construction phase through the use of minority contractors and local workers	21	25	the use of minority contractors
