demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	21	19	nan
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	25	19	nan
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	26	27	the donations
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	23	23	a
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	16	15	nan
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	26	17	nan
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	20	12	nan
The woman won the bet	the bet	His credentials are excellent for the task	14	14	the
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	12	13	a disaster
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	16	17	a glorious
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	33	18	nan
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	23	25	the same direction
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	11	23	a silver lining[SEP]Brand loyalty was stronger among older consumers in the
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	20	23	the growth in earnings
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	24	24	the
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	25	30	the number of new businesses surged
They have about seven candidates	about seven candidates	The agreement is subject to government approval	14	0	nan
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The board expands to seven members	21	16	nan
Bolar has denied any wrongdoing	any wrongdoing	Demand will come first from programming production companies and then from television stations	18	21	and then from television
Integrated made its announcement after the market closed	its announcement	Such animosity could prove pivotal in the union vote	19	16	nan
Some even see a silver lining in the dark clouds	a silver lining	But the outcome of a legal dispute almost always turns on the facts	19	19	a
The Bakersfield Supermarket went out of business last May	last May	Soaring rights fees will lead to an even greater clutter of commercials	23	26	an even greater clutter
He had been vice president in that office	vice president in that office	The majority of the bikes never even make it into the high country	18	25	the bikes never even make it into the
Most British programming is more of an acquired taste	more of an acquired taste	The tape was on tv before the night was out	12	23	an acquired taste[SEP]The tape was on tv before the night
Americans may not be so lucky the next time	the next time	Part of the answer lies in the nature of the industry	20	17	nan
And the naczelnik shuts his door	his door	Some would make even James Bond green with envy	20	19	nan
Her story is becoming part of local folklore	part of local folklore	Each company worries that the other is becoming too powerful and too vertically integrated	18	12	nan
One bank stock was a winner	a winner	The stock market is certainly not too big for the Fed to handle	19	14	nan
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Soaring rights fees will lead to an even greater clutter of commercials	18	35	a fresh wave of foreign purchases[SEP]Soaring rights fees will lead to an even greater clutter
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The latest rebate is good for all Beretta models	12	24	the courtroom tables[SEP]The latest rebate is good for all Beretta
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The youthful audience for Saturday programming is no longer dependent on the networks	20	26	a quick investigation into whether Olivetti
The fund made a similar move earlier this year	a similar move	This starts in the construction phase through the use of minority contractors and local workers	10	25	a similar move[SEP]This starts in the construction phase through the use of minority contractors
The House version of the bill does include the tax cut	the tax cut	It added that no discussions about such a sale are under way	23	23	a
Others had lesser damage and there were no injuries among workers	lesser damage	The dollar finished at its intraday highs	19	23	its intraday highs
He sees a psychoanalyst five mornings a week	a psychoanalyst	Both firms are in New York	11	12	a psych
The British economy is hardly the picture of health these days	the picture of health	The bikes are unwelcome on trails in national parks	12	22	the picture of health[SEP]The bikes are unwelcome on trails
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	The Old Crowd is deeply concerned by the backlash from all this	16	28	a strong presumption against fair use of unpublished materials[SEP]The Old Crowd
The complicated language in the huge new law has muddied the fight	the fight	Sometimes repairs are out of the question	23	16	nan
Another poked a hole in the heel of his shoe	a hole	London shares closed moderately lower in thin trading	11	12	a hole
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	Inflation is at record levels	16	30	a strong presumption against fair use of unpublished materials[SEP]Inflation is at record
Judges will write the real bill as suits roll through the courts	the real bill	It also asked Mesa to keep the proposal confidential	24	21	nan
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	And his outlook improved after successful cataract surgery in August	18	34	one or more undamaged California refineries[SEP]And his outlook improved after successful cat
