demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	16	22	some analysts remain sour on the company
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	14	19	[SEP]Sonja Steptoe
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	20	17	nan
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	23	25	a personal computer
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	12	14	generally are better
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	26	24	nan
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	13	16	[SEP]Merchant banks
The woman won the bet	the bet	His credentials are excellent for the task	13	15	for the task
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	12	29	a disaster declaration covering seven Northern California counties[SEP]Many small investors went for the safety of money
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	16	24	a glorious past[SEP]But the brand had trouble
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	20	35	[SEP]The current ruble rate has long been out of line with the black market
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	14	18	[SEP]Other magazine publishing companies
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	11	25	a silver lining[SEP]Brand loyalty was stronger among older consumers in the Journal survey
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	18	28	much of the growth in earnings[SEP]But transportation officials worry
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	20	17	nan
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	22	29	more competition as the number of new businesses
