demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	0	0	Their
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	0	0	Some
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	30	0	nan
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	23	25	a personal computer
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	0	0	They
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	26	0	nan
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	0	15	She was the child of relative privilege[SEP] the child of relative privilege[SEP]Merchant
The woman won the bet	the bet	His credentials are excellent for the task	0	0	The
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	26	0	nan
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	26	0	nan
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	33	1	nan
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	23	0	nan
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	23	21	nan
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	30	0	nan
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	24	0	nan
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	25	0	nan
They have about seven candidates	about seven candidates	The agreement is subject to government approval	0	0	They
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The board expands to seven members	0	16	The relative calm in Tokyo proved little comfort to markets opening up in Europe[SEP] little comfort
Bolar has denied any wrongdoing	any wrongdoing	Demand will come first from programming production companies and then from television stations	0	1	Bolar
Integrated made its announcement after the market closed	its announcement	Such animosity could prove pivotal in the union vote	0	0	Integ
Some even see a silver lining in the dark clouds	a silver lining	But the outcome of a legal dispute almost always turns on the facts	26	0	nan
The Bakersfield Supermarket went out of business last May	last May	Soaring rights fees will lead to an even greater clutter of commercials	23	26	an even greater clutter
He had been vice president in that office	vice president in that office	The majority of the bikes never even make it into the high country	25	0	nan
Most British programming is more of an acquired taste	more of an acquired taste	The tape was on tv before the night was out	22	0	nan
Americans may not be so lucky the next time	the next time	Part of the answer lies in the nature of the industry	23	0	nan
And the naczelnik shuts his door	his door	Some would make even James Bond green with envy	0	21	And the naczelnik shuts his door[SEP] his door[SEP]Some would make even James Bond green with envy
Her story is becoming part of local folklore	part of local folklore	Each company worries that the other is becoming too powerful and too vertically integrated	0	0	Her
One bank stock was a winner	a winner	The stock market is certainly not too big for the Fed to handle	0	0	One
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Soaring rights fees will lead to an even greater clutter of commercials	32	35	an even greater clutter
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The latest rebate is good for all Beretta models	24	23	nan
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The youthful audience for Saturday programming is no longer dependent on the networks	43	33	nan
The fund made a similar move earlier this year	a similar move	This starts in the construction phase through the use of minority contractors and local workers	0	0	The
The House version of the bill does include the tax cut	the tax cut	It added that no discussions about such a sale are under way	23	0	nan
Others had lesser damage and there were no injuries among workers	lesser damage	The dollar finished at its intraday highs	0	0	Others
He sees a psychoanalyst five mornings a week	a psychoanalyst	Both firms are in New York	0	7	He sees a psychoanalyst five mornings
The British economy is hardly the picture of health these days	the picture of health	The bikes are unwelcome on trails in national parks	0	25	The British economy is hardly the picture of health these days[SEP] the picture of health[SEP]The bikes are unwelcome on trails in national parks
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	The Old Crowd is deeply concerned by the backlash from all this	33	28	nan
The complicated language in the huge new law has muddied the fight	the fight	Sometimes repairs are out of the question	23	0	nan
Another poked a hole in the heel of his shoe	a hole	London shares closed moderately lower in thin trading	0	0	Another
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	Inflation is at record levels	31	27	nan
Judges will write the real bill as suits roll through the courts	the real bill	It also asked Mesa to keep the proposal confidential	24	0	nan
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	And his outlook improved after successful cataract surgery in August	29	26	nan
Some funds are posting yields far higher than the average	yields far higher than the average	But such skills were alien to Toni Johnson	22	0	nan
And many have done just that	just that	This leads to a very special sense of urgency	0	0	And
He visits the same department every two or three weeks	the same department	He can live with little pleasures	0	0	He
But they are stalwart socialists	stalwart socialists	He was back in jail over the summer on shoplifting charges	0	0	But
And the naczelnik shuts his door	his door	The transaction is subject to a definitive agreement and approval by Ideal shareholders	0	25	And the naczelnik shuts his door[SEP] his door[SEP]The transaction is subject to a definitive agreement and approval by Ideal shareholders
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	34	30	nan
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	The scientists have experimented on the tiny neck arteries of rats	40	43	the tiny neck arteries
Wall Street generally likes the industry again	the industry	This bias is in no way deliberate	0	0	Wall
Total return is price changes plus interest income	price changes plus interest income	The bikes are unwelcome on trails in national parks	0	0	Total
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	Judith Valente contributed to this article	30	36	a ministry of provisions[SEP]Judith
Whittle has met some resistance	some resistance	This has led them in a fruitless and destructive policy circle	0	1	Whittle
Fog shrouded the base before touchdown	the base	The bikes are unwelcome on trails in national parks	0	1	Fog
One bank stock was a winner	a winner	The company is active in office and residential development in New York	0	0	One
Conner already is shipping its new drives	its new drives	The board expands to seven members	0	0	Con
And it left mixed signals for London	mixed signals	The fund invests mainly in gold and silver bullion	0	0	And
Other furriers have also placed more weight on retailing	more weight	At least half that growth will have come in the past three years alone	24	1	nan
The fund made a similar move earlier this year	a similar move	Glenn Hall contributed to this article	0	0	The
He previously held posts of senior vice president of compliance and senior vice president and general counsel	posts of senior vice president of compliance and senior vice president and general counsel	For months the resistance has been defenseless against air attack	35	40	the resistance has been defen
The executive branch bears the first responsibility for timidity	the first responsibility for timidity	All this is causing convulsions in professional football	27	0	nan
But the firm has never had a day like yesterday	a day like yesterday	The lack of any new cash probably would still leave the banks dissatisfied	26	28	the banks dissatisfied
Then he would move his movement to Europe	his movement	He sits down at the piano and plays	0	0	Then
