demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	0	0	Their
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	25	16	nan
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	31	30	nan
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	23	23	a
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	0	17	They have about seven candidates[SEP] about seven candidates[SEP]But funds generally are better prepared this time
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	26	28	a given moment
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	0	0	She
The woman won the bet	the bet	His credentials are excellent for the task	0	0	The
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	12	0	nan
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	16	22	a glorious past[SEP]But the brand
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	33	35	the black market
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	5	9	every two or three weeks
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	0	0	Some
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	37	37	last
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	0	17	The service supplies weekly reports on school and college construction plans[SEP] weekly reports on school and college
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	0	23	He hit the lanes three years ago on the advice of his doctor[SEP] the lanes[SEP]This occurred partly because of more competition
They have about seven candidates	about seven candidates	The agreement is subject to government approval	0	0	They
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The board expands to seven members	28	22	nan
Bolar has denied any wrongdoing	any wrongdoing	Demand will come first from programming production companies and then from television stations	0	21	Bolar has denied any wrongdoing[SEP] any wrongdoing[SEP]Demand will come first from programming production companies and then from television
Integrated made its announcement after the market closed	its announcement	Such animosity could prove pivotal in the union vote	0	21	Integrated made its announcement after the market closed[SEP] its announcement[SEP]Such animosity could prove pivotal in the union vote
Some even see a silver lining in the dark clouds	a silver lining	But the outcome of a legal dispute almost always turns on the facts	19	21	a legal dispute
The Bakersfield Supermarket went out of business last May	last May	Soaring rights fees will lead to an even greater clutter of commercials	23	28	an even greater clutter of commercials
He had been vice president in that office	vice president in that office	The majority of the bikes never even make it into the high country	0	27	He had been vice president in that office[SEP] vice president in that office[SEP]The majority of the bikes never even make it into the high country
Most British programming is more of an acquired taste	more of an acquired taste	The tape was on tv before the night was out	0	23	Most British programming is more of an acquired taste[SEP] more of an acquired taste[SEP]The tape was on tv before the night
Americans may not be so lucky the next time	the next time	Part of the answer lies in the nature of the industry	0	24	Americans may not be so lucky the next time[SEP] the next time[SEP]Part of the answer lies in the nature of the industry
And the naczelnik shuts his door	his door	Some would make even James Bond green with envy	21	0	nan
Her story is becoming part of local folklore	part of local folklore	Each company worries that the other is becoming too powerful and too vertically integrated	0	26	Her story is becoming part of local folklore[SEP] part of local folklore[SEP]Each company worries that the other is becoming too powerful and too vertically
One bank stock was a winner	a winner	The stock market is certainly not too big for the Fed to handle	0	22	One bank stock was a winner[SEP] a winner[SEP]The stock market is certainly not too big for the Fed to handle
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Soaring rights fees will lead to an even greater clutter of commercials	32	37	an even greater clutter of commercials
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The latest rebate is good for all Beretta models	0	24	Now at least one Japanese company is turning the courtroom tables[SEP] the courtroom tables[SEP]The latest rebate is good for all Beretta
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The youthful audience for Saturday programming is no longer dependent on the networks	43	40	nan
The fund made a similar move earlier this year	a similar move	This starts in the construction phase through the use of minority contractors and local workers	0	19	The fund made a similar move earlier this year[SEP] a similar move[SEP]This starts in the construction phase
The House version of the bill does include the tax cut	the tax cut	It added that no discussions about such a sale are under way	23	27	a sale are under way
Others had lesser damage and there were no injuries among workers	lesser damage	The dollar finished at its intraday highs	0	22	Others had lesser damage and there were no injuries among workers[SEP] lesser damage[SEP]The dollar finished at its intraday
He sees a psychoanalyst five mornings a week	a psychoanalyst	Both firms are in New York	11	9	nan
The British economy is hardly the picture of health these days	the picture of health	The bikes are unwelcome on trails in national parks	0	25	The British economy is hardly the picture of health these days[SEP] the picture of health[SEP]The bikes are unwelcome on trails in national parks
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	The Old Crowd is deeply concerned by the backlash from all this	37	37	this
The complicated language in the huge new law has muddied the fight	the fight	Sometimes repairs are out of the question	0	24	The complicated language in the huge new law has muddied the fight[SEP] the fight[SEP]Sometimes repairs are out of the question
Another poked a hole in the heel of his shoe	a hole	London shares closed moderately lower in thin trading	11	20	a hole[SEP]London shares closed moderately lower in thin
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	Inflation is at record levels	30	30	record
Judges will write the real bill as suits roll through the courts	the real bill	It also asked Mesa to keep the proposal confidential	0	26	Judges will write the real bill as suits roll through the courts[SEP] the real bill[SEP]It also asked Mesa to keep the proposal confidential
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	And his outlook improved after successful cataract surgery in August	35	33	nan
Some funds are posting yields far higher than the average	yields far higher than the average	But such skills were alien to Toni Johnson	25	0	nan
And many have done just that	just that	This leads to a very special sense of urgency	13	0	nan
He visits the same department every two or three weeks	the same department	He can live with little pleasures	5	9	every two or three weeks
But they are stalwart socialists	stalwart socialists	He was back in jail over the summer on shoplifting charges	0	18	But they are stalwart socialists[SEP] stalwart socialists[SEP]He was back in jail over the summer
And the naczelnik shuts his door	his door	The transaction is subject to a definitive agreement and approval by Ideal shareholders	18	22	a definitive agreement and approval
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	25	35	a takeover fight has sent Jaguar shares soaring in recent weeks
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	The scientists have experimented on the tiny neck arteries of rats	30	42	a ministry of provisions[SEP]The scientists have experimented on the tiny neck
Wall Street generally likes the industry again	the industry	This bias is in no way deliberate	17	16	nan
Total return is price changes plus interest income	price changes plus interest income	The bikes are unwelcome on trails in national parks	0	23	Total return is price changes plus interest income[SEP] price changes plus interest income[SEP]The bikes are unwelcome on trails in national parks
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	Judith Valente contributed to this article	30	37	a ministry of provisions[SEP]Judith Valent
Whittle has met some resistance	some resistance	This has led them in a fruitless and destructive policy circle	15	0	nan
Fog shrouded the base before touchdown	the base	The bikes are unwelcome on trails in national parks	0	0	F
One bank stock was a winner	a winner	The company is active in office and residential development in New York	0	18	One bank stock was a winner[SEP] a winner[SEP]The company is active in office and residential development
Conner already is shipping its new drives	its new drives	The board expands to seven members	0	0	Con
And it left mixed signals for London	mixed signals	The fund invests mainly in gold and silver bullion	0	0	And
Other furriers have also placed more weight on retailing	more weight	At least half that growth will have come in the past three years alone	25	27	past three years
The fund made a similar move earlier this year	a similar move	Glenn Hall contributed to this article	0	8	The fund made a similar move earlier this year
He previously held posts of senior vice president of compliance and senior vice president and general counsel	posts of senior vice president of compliance and senior vice president and general counsel	For months the resistance has been defenseless against air attack	35	34	nan
The executive branch bears the first responsibility for timidity	the first responsibility for timidity	All this is causing convulsions in professional football	0	22	The executive branch bears the first responsibility for timidity[SEP] the first responsibility for timidity[SEP]All this is causing conv
But the firm has never had a day like yesterday	a day like yesterday	The lack of any new cash probably would still leave the banks dissatisfied	14	21	yesterday[SEP]The lack of any new cash
Then he would move his movement to Europe	his movement	He sits down at the piano and plays	0	0	Then
The pool invested idle cash for many state agencies and local governments	idle cash	The transaction is subject to a definitive agreement and approval by Ideal shareholders	21	25	a definitive agreement and approval
The British economy is hardly the picture of health these days	the picture of health	The lack of any new cash probably would still leave the banks dissatisfied	20	10	nan
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	He can live with little pleasures	17	26	a recurring one[SEP]He can live with little pleasures
The infusion of activists can bring a clash of cultures	a clash of cultures	We were out of the box	11	0	nan
But such a combination also presents great risks	great risks	The expansion is subject to approval by federal and Wisconsin environmental regulators	0	21	But such a combination also presents great risks[SEP] great risks[SEP]The expansion is subject to approval by federal and Wisconsin
She was the child of relative privilege	the child of relative privilege	Stock prices fell sharply in active trading	0	0	She
Athena eventually acquired exclusive rights to the technology and currently is developing it	exclusive rights to the technology	Tom Herman contributed to this article	26	27	this article
The two sides now are accusing each other of lying	each other	The trial begins today in federal court in Philadelphia	0	0	The
Hostile takeovers are quite a new phenomenon	quite a new phenomenon	Most sleep on the floor	11	0	nan
They note that stocks experienced volatile swings long before futures	volatile swings	The New York company called the lawsuit without merit	0	0	They
Funds for drilling may inch up more next year if oil prices stay stable	next year	But New York City general obligation bonds came under selling pressure	0	17	Funds for drilling may inch up more next year if oil prices stay stable[SEP] next year
But Trelleborg still must clear some tough hurdles	some tough hurdles	Everyone falls in love with everyone else	0	0	But
He said that the research team had no financial stake in the drug	no financial stake in the drug	In the end politics got in the way	28	28	way
The West Germans then took over and finally found Markus Hess	Markus Hess	The youthful audience for Saturday programming is no longer dependent on the networks	22	23	no longer
Judges will write the real bill as suits roll through the courts	the real bill	Both firms are in New York	0	0	Jud
It is hoped that other Japanese would then follow the leader	the leader	The fund invests mainly in gold and silver bullion	0	0	It
They note that stocks experienced volatile swings long before futures	volatile swings	He does this in at least three of his solo pieces	0	23	They note that stocks experienced volatile swings long before futures[SEP] volatile swings[SEP]He does this in at least three of his solo
Traders are already buckling their seat belts	their seat belts	The biggest flurry of investor activity came early in the day	0	24	Traders are already buckling their seat belts[SEP] their seat belts[SEP]The biggest flurry of investor activity came early in the day
And many have done just that	just that	But then they wake up to a nightmare	16	0	nan
The company cited sales gains at its Milton Bradley and Playskool units and in its international business for the increase in revenue	sales gains at its Milton Bradley and Playskool units and in its international business	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	46	56	a takeover fight has sent Jaguar shares soaring in recent weeks
It is hoped that other Japanese would then follow the leader	the leader	Not only Californians but all Americans would pay if this thing passed	25	26	this thing
Traders can vary their strategies and execute their orders in any one of them	their strategies	The figures are at seasonally adjusted annual rates in trillions of dollars	0	23	Traders can vary their strategies and execute their orders in any one of them[SEP] their strategies[SEP]The figures are at season
Others had lesser damage and there were no injuries among workers	lesser damage	Prices on the Frankfurt Stock Exchange tumbled in heavy trading	25	23	nan
Fog shrouded the base before touchdown	the base	Bond prices were little changed in sluggish activity	0	0	F
Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	the Tokyo Motor Show	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	29	29	a
The infusion of activists can bring a clash of cultures	a clash of cultures	This of course led to disaster in New York City	11	18	a clash of cultures[SEP]This of course
The struggle over capital gains is the most important game in town	the most important game in town	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	32	18	nan
And the naczelnik shuts his door	his door	The scientists have experimented on the tiny neck arteries of rats	0	20	And the naczelnik shuts his door[SEP] his door[SEP]The scientists have experimented on the tiny neck
The struggle over capital gains is the most important game in town	the most important game in town	The result is that the unthinkable and illogical are happening	25	18	nan
Labor problems top the list	the list	The interviews took place two years ago	0	14	Labor problems top the list[SEP] the list[SEP]The interviews took place two years
Bolar has denied any wrongdoing	any wrongdoing	Glenn Hall contributed to this article	0	0	B
They have about seven candidates	about seven candidates	The stock market reacted strongly to the news	0	0	They
Colgate sold its hospital supply and home health care business last year	its hospital supply and home health care business	The biggest flurry of investor activity came early in the day	32	33	the day
