original	label	prediction
易碎的花瓶放在顶层书架	易碎的花瓶放在顶层书架	放在顶层书架
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	床单放在洗衣篮中
他的父母冲到他身旁	他的父母冲到他身旁	他的父母冲到
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	论文摆放在书架上
小船停在平静的湖面上	小船停在平静的湖面上	小船停在
黄金宝藏位于茂密的丛林	黄金宝藏位于茂密的丛林	黄金宝藏位于丛林
一只迷路的小狗走向城市公园	一只迷路的小狗走向城市公园	小狗走向公园
他的父亲死于一次心脏病	他的父亲死于	fail to follow
小男孩看向玩具店的橱窗	小男孩看向玩具店的橱窗	小男孩看向玩具店
这场意外发生在周六晚上	这场意外发生在	fail to follow
剩余学生坐在地上	剩余学生坐在	fail to follow
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	一轮圆月出现
这场意外发生在周六晚上	这场意外发生在	这场意外发生
他的父母冲到他身旁	他的父母冲到他身旁	fail to follow
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	fail to follow
剩余学生坐在地上	剩余学生坐在	fail to follow
小男孩看向玩具店的橱窗	小男孩看向玩具店的橱窗	的橱窗
小鸟们停在粗树枝上	小鸟们停在粗树枝上	小鸟们停在树枝上
年老的客人们坐在晚餐桌旁	年老的客人们坐在晚餐桌旁	年老的客人们坐在
许多松鼠生活在橡树上	许多松鼠生活在橡树上	许多松鼠生活
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	一轮圆月出现
一位绅士走向繁忙的咖啡厅	一位绅士走向繁忙的咖啡厅	一位绅士走向咖啡厅
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	圆月出现
这件稀有文物保存在安全保险库中	这件稀有文物保存在安全保险库中	这件稀有文物保存
