original	label	prediction
一位绅士走向繁忙的咖啡厅	一位绅士走向繁忙的咖啡厅	一位绅士走向咖啡厅
他的父亲死于一次心脏病	他的父亲死于	fail to follow
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	这封秘密信
小女孩走向卧室	小女孩走向卧室	小女孩走向
路标指向最近的出口	路标指向最近的出口	路标指向
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向
他的眼镜放在床头柜上	他的眼镜放在床头柜上	他的眼镜
剩余学生坐在地上	剩余学生坐在	剩余学生坐在
一只迷路的小狗走向城市公园	一只迷路的小狗走向城市公园	一只迷路的小狗
他的父母冲到他身旁	他的父母冲到他身旁	他的父母冲到
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	圆月出现
路标指向最近的出口	路标指向最近的出口	路标指向
一只迷路的小狗走向城市公园	一只迷路的小狗走向城市公园	小狗走向公园
这场意外发生在周六晚上	这场意外发生在	这场意外发生
路标指向最近的出口	路标指向最近的出口	路标指向出口
一张照片挂在他的书房	一张照片挂在他的书房	fail to follow
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	秘密信放在旧木桌上
年老的客人们坐在晚餐桌旁	年老的客人们坐在晚餐桌旁	年老的客人们坐在晚餐桌
这位伟大的艺术家死于一场重病	这位伟大的艺术家死于一场重病	fail to follow
他们一家生活在一个老旧农舍里	他们一家生活在	他们一家生活
易碎的花瓶放在顶层书架	易碎的花瓶放在顶层书架	fail to follow
学生们看向复杂的方程式	学生们看向复杂的方程式	学生们看向方程式
他的眼镜放在床头柜上	他的眼镜放在床头柜上	眼镜放在床头柜上
小船停在平静的湖面上	小船停在平静的湖面上	小船停在湖面上
