original	label	prediction
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	床单放在洗衣篮中
学生们看向复杂的方程式	学生们看向复杂的方程式	学生们看
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	fail to follow
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	圆月出现
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	圆月出现
黄金宝藏位于茂密的丛林	黄金宝藏位于茂密的丛林	黄金宝藏位于丛林
许多松鼠生活在橡树上	许多松鼠生活在橡树上	许多松鼠生活
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	fail to follow
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	床单放在洗衣篮中
这件稀有文物保存在安全保险库中	这件稀有文物保存在安全保险库中	这件稀有文物
这件稀有文物保存在安全保险库中	这件稀有文物保存在安全保险库中	这件稀有文物保存
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向
一位绅士走向繁忙的咖啡厅	一位绅士走向繁忙的咖啡厅	一位绅士走向
许多松鼠生活在橡树上	许多松鼠生活在橡树上	fail to follow
小鸟们停在粗树枝上	小鸟们停在粗树枝上	小鸟们停在
大部分人生活在农村地区	大部分人生活在	人生活在农村地区
这件稀有文物保存在安全保险库中	这件稀有文物保存在安全保险库中	这件稀有文物保存在
易碎的花瓶放在顶层书架	易碎的花瓶放在顶层书架	fail to follow
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	秘密信放在旧桌上
一位绅士走向繁忙的咖啡厅	一位绅士走向繁忙的咖啡厅	一位绅士走向咖啡厅
小鸟们停在粗树枝上	小鸟们停在粗树枝上	小鸟们停在树枝上
他的父亲死于一次心脏病	他的父亲死于	fail to follow
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	秘密信放在旧木桌上
这个故事始于一个小镇	这个故事始于一个小镇	这个故事始于
