demonstration	demon_label	test_sentence	response	attachment	structure
The hiker climbed the mountain	The hiker climbed	The guy caught the rat with a trap	The guy caught rat	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The bird sang a melody	The bird sang	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The journalist reported the news	The journalist reported	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The gang of the criminal that had a long scar disappeared last Monday	The gang of dissappeared last Monday	adjunct	structure_1
The chef cooked the meal	The chef cooked	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd.	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The professor challenged the students with his projects	The professor challenged.	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The artist of the mural completed his work	The artist of completed his work	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The student solved the equation	The student solved	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The architect designed the building	The architect designed	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The musician tuned the guitar	The musician tuned	The comedian entertained the crowd with witty jokes	The comedian entertained	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists.	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone.	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The miner of the gold that had the impurities was worthless	The mine of the gold the gold that had the impurities was worthless.	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense.	adjunct	structure_2
The manager of the factory was efficient	The manager of was efficient	The house of the painter that had the small windows looked odd	The house of looked odd.	adjunct	structure_2
The mechanic fixed the engine	The mechanic fixed	Dan entered the room with a window	Dan entered.	pp	structure_1
The driver steered the car	The driver steered	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The baker baked the cake	The baker baked	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning.	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	Michelle watched the movie with her boyfriend	Michelle watched.	pp	structure_2
