demonstration	demon_label	test_sentence	response	attachment	structure
The tailor altered the coat	The tailor altered	The magician amazed the participant with a fancy scene	The magician amazed.	pp	structure_2
The chef cooked the meal	The chef cooked	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The journalist reported the news	The journalist reported	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The dancer performed the routine	The dancer performed	Van Gogh drew the paintings with starry night	Greg drew.	pp	structure_1
The fisherman caught the trout	The fisherman caught	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The inventor of the machine that had the goatee was amazing	The inventor of was amazing	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	The basketball player won the game with his team	The basketball player won.	pp	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The restaurant of the chef that had the blue tiles pleased us	The restaurant of the chef had the blue tiles pleased us	adjunct	structure_2
The mechanic fixed the engine	The mechanic fixed	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate	pp	structure_1
The student solved the equation	The student solved	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The house of the painter that had the small windows looked odd	The house of the painter	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The criminal of the gang that had a long scar disappeared last Monday	The criminal of the gang.	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The miner of the gold that had the impurities was worthless	The miner of the gold	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The church of the bishop that had the funny eyebrows looked odd	The church of had the funny eyebrows	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The student read the book	The student read	the cook made the meal with a Chinese cleaver	The cook made	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The song of the singer that had long eyelashes was very smart	The song of had long eyelashes	adjunct	structure_1
The artist of the mural completed his work	The artist of completed his work	The letter of the writer that had blonde hair arrived this morning	The letter of had blonde hair	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of had a nasty effect	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The flowers of the valley that had the old castle excited the tourists	The flowers of had the old castle excited	adjunct	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The driver of the car that had the moustache was pretty cool	The driver of the car was pretty cool	adjunct	structure_2
The teacher explained the concept	The teacher explained	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The actor memorized the script	The actor memorized	The professor recruited the students with black eyes	The professor recruited 	pp	structure_1
