demonstration	demon_label	test_sentence	response	attachment	structure
The carpenter built the house	The carpenter built	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The architect designed the building	The architect designed	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The miner of the gold that had the impurities was worthless	The miner of gold	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	The guy caught the rat with a scar	The guy caught	pp	structure_1
The chef seasoned the soup	The chef seasoned	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The song of the player is really popular	The song of is really popular	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The director of the orchestra played well	The director of played well	The church of the bishop that had the funny eyebrows looked odd	The church of looked old	adjunct	structure_1
The lawyer argued the case	The lawyer argued	Michelle watched the movie with her boyfriend	Michelle watched	pp	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The driver of the car that had the moustache was pretty cool	The driver of the car that had the moustache was pretty cool	adjunct	structure_2
The student solved the equation	The student solved	Dan entered the room with a window	Dan entered	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone	adjunct	structure_2
The teacher explained the concept	The teacher explained	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The bird sang a melody	The bird sang	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The student read the book	The student read	Charles runs a photo studio with two friends	Charles runs	pp	structure_2
The journalist reported the news	The journalist reported	The professor recruited the students with black eyes	The professor recruited	pp	structure_1
The driver steered the car	The driver steered	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
