demonstration	demon_label	test_sentence	response	attachment	structure
The chef seasoned the soup	The chef seasoned	The professor recruited the students with black eyes	The professor recruited	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The valley of the flowers that had the old castle excited the tourists	The valley of had the old castle	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of the supplier that had a nasty effect hurt everyone	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Charles runs a photo studio with two friends	Charles runs	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The chef of the restaurant that had the blue tiles pleased us	The chef of the blue tiles	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	The guy caught the rat with a scar	The guy caught	pp	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The house of the painter looked odd	The house of looked odd	The letter of the writer that had blonde hair arrived this morning	The letter of this morning	adjunct	structure_1
The park of the city delighted the children	The park of delighted the children	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd	adjunct	structure_2
The carpenter built the house	The carpenter built	The police investigated the house with the permission	The police investigated	pp	structure_2
The hiker climbed the mountain	The hiker climbed	the cook ate the meal with some cauliflowers	The cook ate	pp	structure_1
The driver steered the car	The driver steered	Michelle watched the movie with her boyfriend	Michelle watched	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The baker baked the cake	The baker baked	Bill cut the paper with a very bright colour	BIll cut	pp	structure_1
The director of the orchestra played well	The director of played well	The singer of the song that had long eyelashes was very smart	The singer of very smart	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The coach led the team with three members	The coach led	pp	structure_1
The actor memorized the script	The actor memorized	The basketball player won the game with his team	The basketball player won	pp	structure_2
The baker kneaded the dough	The baker kneaded	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The gold of the miner that had the impurities was worthless	The gold of impurities was worthless	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	Van Gogh drew the paintings with starry night	Van Gogh drew	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
