demonstration	demon_label	test_sentence	response	attachment	structure
The gallery of the center impressed the critics	The gallery of impressed the critics	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of had a nasty effect hurt everyone.	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Mom ate the chocolate with chopped nuts	Mom ate.	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Charles runs a photo studio with two friends	Charles runs.	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense.	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Michelle watched the movie with her boyfriend	Michelle watched.	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The inventor of the machine that had the goatee was amazing	The inventor of was amazing.	adjunct	structure_2
The driver steered the car	The driver steered	The doctor noticed the boy using big headphones	The doctor noticed.	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning.	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The singer of the song that had long eyelashes was very smart	The singer of was very smart.	adjunct	structure_2
The musician tuned the guitar	The musician tuned	The comedian entertained the crowd with witty jokes	The comedian entertained.	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The house of the painter that had the small windows looked odd	The house of looked odd.	adjunct	structure_2
The tailor altered the coat	The tailor altered	The coach led the team with three members	The coach led.	pp	structure_1
The pilot flew the airplane	The pilot flew	The magician thanked the participant with a big nose	The magician thanked.	pp	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool.	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd.	adjunct	structure_2
The chef cooked the meal	The chef cooked	The professor recruited the students with black eyes	The professor recruited.	pp	structure_1
The plains of the tribe looked strange	The plains of looked strange	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists.	adjunct	structure_1
The lawyer argued the case	The lawyer argued	Dan entered the room with a key	Dan entered.	pp	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The miner of the gold that had the impurities was worthless	The miner of was worthless.	adjunct	structure_1
The carpenter built the house	The carpenter built	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate.	pp	structure_2
The student read the book	The student read	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The journalist reported the news	The journalist reported	The guy caught the rat with a trap	The guy caught.	pp	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday.	adjunct	structure_1
