demonstration	demon_label	test_sentence	response	attachment	structure
The library of the school attracted many scholarse	The library of attracted many scholarse	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us.	adjunct	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense.	adjunct	structure_1
The baker baked the cake	The baker baked	The guy caught the rat with a trap	The guy caught.	pp	structure_2
The hiker climbed the mountain	The hiker climbed	The doctor noticed the boy using big headphones	The doctor noticed.	pp	structure_1
The actor memorized the script	The actor memorized	The comedian entertained the crowd with witty jokes	The comedian entertained.	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The inventor of the machine that had the goatee was amazing	The inventor of was amazing.	adjunct	structure_2
The programmer wrote the code	The programmer wrote	Charles runs a photo studio with two floors	Charles runs.	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday.	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd.	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The gold of the miner that had the impurities was worthless	The gold of was worthless.	adjunct	structure_2
The manager of the factory was efficient	The manager of was efficient	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone.	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The house of the painter that had the small windows looked odd	The house of looked odd.	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists.	adjunct	structure_1
The pilot flew the airplane	The pilot flew	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	Dan entered the room with a key	Dan entered.	pp	structure_2
The singer composed a song	The singer composed	The magician thanked the participant with a big nose	The magician thanked.	pp	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The song of the singer that had long eyelashes was very smart	The song of was very smart.	adjunct	structure_1
The attorney of the company bothered me	The attorney of bothered me	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning.	adjunct	structure_1
The gamer played the game	The gamer played	Mom melted the chocolate with an iron pot	Mom melted.	pp	structure_2
The chef cooked the meal	The chef cooked	Michelle watched the movie with English subtitles	Michelle watched with English subtitles.	pp	structure_1
The gardener watered the plants	The gardener watered	Bruce leads the rock band with his voice	Bruce leads with his voice.	pp	structure_2
The baker kneaded the dough	The baker kneaded	The professor challenged the students with his projects	The professor challenged with his projects.	pp	structure_2
