demonstration	demon_label	test_sentence	response	attachment	structure
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of the that had a nasty effect hurt everyone	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The letter of the writer that had blonde hair arrived this morning	The letter of that had blonde hair arrived this morning	adjunct	structure_1
The gamer played the game	The gamer played	The guy caught the rat with a scar	The guy caught with a scar	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The gold of the miner that had the impurities was worthless	The gold of that had the impurities was worthless	adjunct	structure_2
The student read the book	The student read	Jasmine sang the song with the lovely students	Jasmine sang with the lovely students	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The painter of the house that had the small windows looked odd	The painter of that had the small windows looked odd	adjunct	structure_1
The carpenter built the house	The carpenter built	The magician thanked the participant with a big nose	The magician thanked with a big nose	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The thesis of the editor that had the big nose made a lot of sense	The thesis of that had the big nose made a lot of sense	adjunct	structure_1
The gardener watered the plants	The gardener watered	The comedian saw the crowd with fresh flowers	The comedian saw with fresh flowers	pp	structure_1
The singer composed a song	The singer composed	Bruce likes the rock band with different instruments	Bruce likes with different instruments	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	Van Gogh sold the paintings with a broken heart	Van Gogh sold with a broken heart	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The car of the driver that had the moustache was pretty cool	The car of that had the mustache was pretty cool	adjunct	structure_1
The pilot flew the airplane	The pilot flew	the cook made the meal with a Chinese cleaver	The cook made with a Chinese cleaver	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The doctor saved the boy using a pacemaker	The doctor saved using a pacemaker	pp	structure_2
The programmer wrote the code	The programmer wrote	Michelle watched the movie with English subtitles	Michelle watched with English subtitles	pp	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The valley of the flowers that had the old castle excited the tourists	The valley of that had the old castle excited the tourists	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	Dan entered the room with a key	Dan entered with a key	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The restaurant of the chef that had the blue tiles pleased us	The restaurant of that had the blue tiles pleased us	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The church of the bishop that had the funny eyebrows looked odd	none	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The criminal of the gang that had a long scar disappeared last Monday	The criminal of that had a long scar disappeared last Monday	adjunct	structure_2
The director of the orchestra played well	The director of played well	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart	adjunct	structure_2
The forest of the animals pleased us	The forest of pleased us	The inventor of the machine that had the goatee was amazing	The inventor of that had the goatee was amazing	adjunct	structure_2
The detective solved the mystery	The detective solved	Bill cut the paper with a very sharp knife	Bill cut with a very sharp knife	pp	structure_2
The baker kneaded the dough	The baker kneaded	The professor recruited the students with black eyes	none	pp	structure_1
