demonstration	demon_label	test_sentence	response	attachment	structure
The mechanic fixed the engine	The mechanic fixed	The basketball player won the game with his team	The basketball player won.	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday.	adjunct	structure_2
The bird sang a melody	The bird sang	Mom melted the chocolate with an iron pot	Mom melted the chocolate.	pp	structure_2
The tailor altered the coat	The tailor altered	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The singer composed a song	The singer composed	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists.	adjunct	structure_1
The musician tuned the guitar	The musician tuned	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate.	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The teacher explained the concept	The teacher explained	The magician thanked the participant with a big nose	The magician thanked.	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The song of the singer that had long eyelashes was very smart	The song of the singer that had long eyelashes was very smart.	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The writer of the letter that had blonde hair arrived this morning	The writer of  arrived this morning.	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The house of the painter that had the small windows looked odd	The house of looked odd.	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The gold of the miner that had the impurities was worthless	The gold of was worthless.	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd.	adjunct	structure_1
The driver steered the car	The driver steered	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The programmer wrote the code	The programmer wrote	the cook made the meal with a Chinese cleaver	The cook made.	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense.	adjunct	structure_2
The director of the orchestra played well	The director of played well	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone.	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	The guy caught the rat with a scar	The guy caught.	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The inventor of the machine that had the goatee was amazing	The inventor of was amazing.	adjunct	structure_2
The gamer played the game	The gamer played	Bruce leads the rock band with his voice	Bruce leads.	pp	structure_2
The architect designed the building	The architect designed	The doctor saved the boy using a pacemaker	The doctor saved.	pp	structure_2
The fisherman caught the trout	The fisherman caught	The coach led the team with three members	The coach led.	pp	structure_1
