demonstration	demon_label	test_sentence	response	attachment	structure
The park of the city delighted the children	The park of delighted the children	The editor of the thesis that had the big nose made a lot of sense	The editor of thesis that had the big nose made a lot of sense.	adjunct	structure_2
The student read the book	The student read	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The flowers of the valley that had the old castle excited the tourists	The flowers of the valley that had the old castle excited the tourists'.	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The writer of the letter that had blonde hair arrived this morning	The writer of that had blonde hair arrived this morning.	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The gold of the miner that had the impurities was worthless	The gold of that had the impurities was worthless	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The detective solved the mystery	The detective solved	Dan entered the room with a key	Dan entered	pp	structure_2
The librarian sorted the books	The librarian sorted	Charles runs a photo studio with two floors	Charles runs	pp	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The singer of the song that had long eyelashes was very smart	The sing of that had long eyelashes was very smart	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The church of the bishop that had the funny eyebrows looked odd	The church of that had the funny eyebrows looked odd.	adjunct	structure_1
The carpenter built the house	The carpenter built	the cook made the meal with a Chinese cleaver	The cook made	pp	structure_2
The baker kneaded the dough	The baker kneaded	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of that had a nasty effect hurt everyone	adjunct	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The gamer played the game	The gamer played	The guy caught the rat with a trap	The guy caught	pp	structure_2
The gardener watered the plants	The gardener watered	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd	adjunct	structure_2
The director of the orchestra played well	The director of played well	The gang of the criminal that had a long scar disappeared last Monday	The gang of that had a long scar disappeared last Monday	adjunct	structure_1
The manager of the factory was efficient	The manager of was efficient	The machine of the inventor that had the goatee was amazing	The machine of that had the goatee was amazing	adjunct	structure_1
The pilot flew the airplane	The pilot flew	The professor challenged the students with his projects	The professor challenged	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The driver of the car that had the moustache was pretty cool	The driver of that had the moustache was pretty cool	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The police investigated the house with a garden	The police investigated	pp	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The chef of the restaurant that had the blue tiles pleased us	The chef of that had the blue tiles pleased us	adjunct	structure_1
