demonstration	demon_label	test_sentence	response	attachment	structure
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The thesis of the editor that had the big nose made a lot of sense	The thesis of the editor that had the big nose made a lot of sense.	adjunct	structure_1
The gardener watered the plants	The gardener watered	Michelle watched the movie with her boyfriend	Michelle watched.	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart'	adjunct	structure_2
The student read the book	The student read	The comedian entertained the crowd with witty jokes	The comedian entertained.	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The miner of the gold that had the impurities was worthless	The miner of  was worthless.	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	The guy caught the rat with a trap	The guy caught	pp	structure_2
The mechanic fixed the engine	The mechanic fixed	The doctor noticed the boy using big headphones	The doctor noticed.	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The writer of the letter that had blonde hair arrived this morning	The writer of that had blonde hair arrived this morning	adjunct	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The restaurant of the chef that had the blue tiles pleased us	The restaurant of that had the blue tiles pleased us	adjunct	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday.	adjunct	structure_2
The chef cooked the meal	The chef cooked	The police investigated the house with a garden	The police investigated.	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The librarian sorted the books	The librarian sorted	Bruce leads the rock band with his voice	Bruce leads.	pp	structure_2
The director of the orchestra played well	The director of played well	The flowers of the valley that had the old castle excited the tourists	The flowers of  excited the tourists.	adjunct	structure_1
The carpenter built the house	The carpenter built	Mom melted the chocolate with an iron pot	Mom melted.	pp	structure_2
The chef seasoned the soup	The chef seasoned	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The song of the player is really popular	The song of is really popular	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone	adjunct	structure_2
The baker kneaded the dough	The baker kneaded	the cook made the meal with a Chinese cleaver	The cook made.	pp	structure_2
The baker baked the cake	The baker baked	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd.	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The basketball player won the game with lots of audience	The basketball player won.	pp	structure_1
The tailor altered the coat	The tailor altered	The professor recruited the students with black eyes	The professor recruited.	pp	structure_1
