demonstration	test_sentence	response
我有新衣服	弱国就是大国的练兵场啊	弱国就是练兵场啊
他加入他们群了	我看那车还不错	那车不错
反正我是没洗过十多分钟的脸	你是不是有车老师的邮箱之类的	fail to follow
小兵立大功	基本她没管家庭和小孩	基本她没管
你看社区地图	所以你换家医院看看不行吗	你换家医院看看不行吗
哎我也是这个点起来的	反正我觉得我爸妈也不着急我嫁人	fail to follow
我预约了心脏彩超	我周日晚上走	fail to follow
那单词用什么书呢	我刚给那个男孩说了	我刚给说了
我靠我真不该换这个签名的	我周六凌晨的飞机	周六凌晨的飞机
我预约了心脏彩超	这里晚上十一点了	fail to follow
我那时候也有	我周日晚上走	我晚上走
你半个月来一次	老公也在我这边	fail to follow
他们学了奥数和奥英呀	我感觉你身上有他的影子	fail to follow
那单词用什么书呢	关键你男人家请客就行	你男人家请客就行
他们住一楼	我这里是晚上八点	我这里八点
钱到位你就买你单位的吧	他们也是这个时间	fail to follow
当权者不能保护自己的国民	欧元促进电子商务发展	欧元促进发展
你是怎么知道这篇文章的	这个公寓楼就是酒店式那种的	这个公寓楼就是酒店式的
小兵立大功	一张胶片多少钱大概	一张胶片
反正我是没洗过十多分钟的脸	官方就需要这样的代表	官方就需要这样的
书记今天下午回来	还是你们在哪里再要一个孩子啊	你们在哪里要一个孩子啊
你认识新朋友没	你可以去其他地方测试一下	你可以去测试一下
你说你们这届的	我周日晚上走	我走
你要是个男的就好了	文科基本上生活中有点用	文科基本上
