demonstration	test_sentence	response
或者你那个地方什么时候会招人呢	你机票多少钱	fail to follow
书记今天下午回来	其他的外国人都是同事同学	外国人都是同事同学
啥叫康乐消费	他们这几天可能去我小姨那里了	他们可能去我小姨那里了
恩我正在订机票酒店什么的	我也有过这样的经历	我也有过
你说你们这届的	这是我的简历	这是简历
反正我是没洗过十多分钟的脸	啥叫康乐消费	啥叫康乐
你是怎么知道这篇文章的	他也是四个月暑假啊	他也是四个月啊
咱没有那个本事跟着去学肯定不行	男孩不能太乖这是我的看法	男孩不能太乖我的看法
我没有淘宝账号	我这里有个特快过去	我这里有个特快
祖上多少代都没这基因	我哪有什么关系	我哪有什么
你半个月来一次	你敢嘲笑你哥	你嘲笑你哥
你找天来我宿舍拿吧	尽管你也看不惯我和艳调情	尽管你看不惯我和艳调情
你要是个男的就好了	他是知青子女正在读博士	他是知青子女读博士
我有你的啊	你这年纪轻轻滴失眠个什么撒	这年纪轻轻滴失眠个什么撒
你下午几点结束	反正我是没洗过十多分钟的脸	我没洗脸
那是理想国	我没往这方面考虑过	我没考虑过
我没有淘宝账号	它应该是我党的标杆城市啊	fail to follow
家里一堆事情	你是我的初恋	你是我
家里一堆事情	我下采购单	我采购单
心里先有个数	人各有自己的生长规律和足迹	fail to follow
家里一堆事情	孩子们去同学家过生日去了	孩子们同学家
你什么时候打的电话	他们可能是通过其他渠道知道的	他们通过其他渠道知道的
你说你们这届的	所以你先做前期工作	所以你先做
你能接受什么价位的	我已经不会为这些事情纠结了	我不会纠结了
