demonstration	test_sentence	response
小兵立大功	你们那边晚上几点啦	你们那边晚上几点
那我明天早上跟她说吧	那个旅馆在最边上	那个旅馆最边上
他加入他们群了	你觉得你的小啊	你觉得小啊
这个是耳鼻喉科的手术申请单	你觉得哪个行的最好	哪个行的最好
你看社区地图	要不然谁知道怎么回事	要不然谁知道
你是怎么知道这篇文章的	你说你那里的算便宜了吧	你那里的算便宜了吧
啥叫康乐消费	你们一家的照片比我的还多	你们一家的照片比我多
我预约了心脏彩超	我看见好多客户的天线都很简单	fail to follow
那我明天早上跟她说吧	我们做弱电系统	我们做弱电
他们学了奥数和奥英呀	我的微博里好多照片	fail to follow
或者你那个地方什么时候会招人呢	楼顶各种小花园	fail to follow
她是个行政的主任	我们看看做个标书	我们看看
我有你的啊	呵呵这是你初恋吗	呵呵初恋吗
但我每天都会关注你的签名	现在儿子肯定多数听老婆的	现在儿子肯定多数听
我也有过这样的经历	路由器在我这边	路由器在我这
反正我是没洗过十多分钟的脸	钱从你那里走	钱从你那里
你认识新朋友没	但是公司有营销策划部门	公司有营销策划部门
我怎么觉得我有点晚睡强迫症	他也是四个月暑假啊	他也是四个月啊
这个是耳鼻喉科的手术申请单	他搞他的我搞我的	fail to follow
不过我在你后面	你啥时来	你来
或者你那个地方什么时候会招人呢	我鄙视俺同学	fail to follow
她是个行政的主任	我也要试试这个机构才行	我要试试
当权者不能保护自己的国民	一白遮百丑呀	一白遮百
我们都是一家人	那你就买植村秀的	那你就买植村秀
