demonstration	test_sentence	response
你可以去研究这种社会课题了	你是不是有车老师的邮箱之类的	fail to follow
你下午几点结束	我今天下午困死了	我困死了
这里晚上十一点了	我倒是没有考虑过这个问题	我没有考虑过
家是外地的	嗯我上周给我们部门的人讲课	上周讲课
他加入他们群了	自己发自己的	自己的
你看社区地图	我没用电压力锅给她做过	我没做过
它和启明是一个概念	这个不是我的	这个不是
咱没有那个本事跟着去学肯定不行	出院科室里面有个床号	出院科室有个床号
我也要试试这个机构才行	这个能不能加点内容	能不能加点内容
那是理想国	样子和我小时候一模一样	样子一模一样
它和启明是一个概念	你们公司叫什么名称	你们公司叫什么
你发到我信箱吧	那只是一方面	那只是一面
那我明天早上跟她说吧	我下周二就走了	下周二就走了
钱到位你就买你单位的吧	所以你先做前期工作	先做前期工作
这个是耳鼻喉科的手术申请单	队员家长送了张卡	队员家长送了
但我每天都会关注你的签名	她前一段时间在幼儿园打工	她前一段时间在幼儿园
不过我在你后面	我下采购单	我下单
你找天来我宿舍拿吧	你那里还有我的照片吗	你那还有我的照片吗
路由器在我这边	你机票多少钱	机票多少钱
你要是个男的就好了	我预约了心脏彩超	我预约了
我也有过这样的经历	会员分散啥意思	会员分散
它和启明是一个概念	那里有没有华人同事	那里有没有华人
我也要试试这个机构才行	梵西不适合小小朋友去的	梵西不适合小朋友去
你发到我信箱吧	你只谈谈你的想法就行	你谈谈就行
