demonstration	test_sentence	response
The bond market was unmoved by the economic statistics	The current ruble rate has long been out of line with the black market	the current ruble rate has long been out of line with
Your story is an insult to the citizens of the Mississippi Delta	The relative calm in Tokyo proved little comfort to markets opening up in Europe	the calm in tokyo little comfort to markets opening up in europe
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	But the lack of lines became painfully apparent	but the lack of became painfully apparent
These people have different agendas	Treasury bonds ended slightly higher in light trading	treasury bonds ended
Athena eventually acquired exclusive rights to the technology and currently is developing it	Conference committees are breeding grounds for mischief	conference committees are breeding grounds for
Loyalty lags most for utilitarian products like trash bags and batteries	He reset opening arguments for today	he reset opening arguments for
Another poked a hole in the heel of his shoe	For months the resistance has been defenseless against air attack	for months the resistance has been defenseless against
Other network applications have very different goals	The spinoff should solve a problem for the parent	the spinoff should
An assassin in Colombia killed a federal judge on a Medellin street	The tribe is one of the poorest in the Pacific Northwest	the tribe is one of the poorest in the
Help may be on the way	Panda Motors is one such investment	panda motors is one such
Rents have soared along with house prices	Turkey in any event is long past it	turkey in any event is long past
Our teachers are not an important factor in our educational crisis	Ads for England are artsy and irreverent	ads for england are artsy and
The West Germans then took over and finally found Markus Hess	The public is still cautious	the public is still
We go from one to the other	The state can also bar Drexel as an investment adviser	the state can bar drexel as an investment adviser
We were out of the box	The company is facing a takeover proposal from the financier Sir James Goldsmith	the company facing takeover proposal from financier sir james goldsmith
Analysts expect further jitters this week	But Mexico urgently needs more help	but mexico needs more help
Percentage differences based on daily sales rate rather than sales volume	Senator Byrd is chairman of the Appropriations Committee	senator byrd is chairman
Investors welcomed the move	President Bush signed a disaster declaration covering seven Northern California counties	president bush signed
October is a critical month for the privatization program	Fog shrouded the base before touchdown	fog shrouded the base
Both the Peasants and Rural Solidarity are forming new political parties for farmers	None of the officials was available for comment	none of the officials available for comment
Other forms of red tape are more pervasive	The plan is subject to approval by the bankruptcy court and others	the plan is subject to approval by others
Expansion plans also include acquisitions in growing foreign markets	The remainder of the house leans precariously against a sturdy oak tree	the remainder of the house leans
They lied to me on the recruiting trip	But the deal fell apart last week for lack of financing	but the deal fell apart
Craig Forman in London contributed to this article	All of the bidders contemplate full payment including interest to secured creditors	to secured creditors
