demonstration	test_sentence	response
An assassin in Colombia killed a federal judge on a Medellin street	Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	foreign auto makers are taking the tokyo motor show more seriously than
Even claims against individuals and companies face significant roadblocks	The pilots were meeting outside Chicago yesterday	the pilots meeting outside chicago yesterday
Some even see a silver lining in the dark clouds	The Chicago exchanges also are working on such a device	the chicago exchanges also are working on
Total return is price changes plus interest income	Some of these ideas are again under consideration in Congress	some ideas under consideration in congress
But the brand had trouble from the start	Others had lesser damage and there were no injuries among workers	others had lesser damage and no injuries among workers
Our teachers are not an important factor in our educational crisis	The protesters point out that Galileo also could crash to Earth then	protesters point out galileo could crash to earth
October is a critical month for the privatization program	Some of the allegations are simply bizarre	some of the allegations
The legal fight was the subject of a Wall Street Journal story yesterday	They could still panic and bail out of the market	they could still panic and
Federal Paper Board sells paper and wood products	Craig Torres contributed to this article	craig torres
But the move lagged a stronger rise in New York Stock Exchange issues	Lead underwriter to the issue is Toronto Dominion Securities Inc	lead underwriter to the issue is toronto dominion securities
Demand will come first from programming production companies and then from television stations	Inco shares fell after the announcements	inco shares fell after the
The infusion of activists can bring a clash of cultures	The market seems increasingly disconnected from the rest of the nation	the market seems disconnected from the rest of the nation
The Bakersfield Supermarket went out of business last May	Wall Street traders on Friday had complained about the trading suspensions	wall street traders on friday complained trading suspensions
The answer will be obvious	Yet parents demand them	yet parents them
But the move lagged a stronger rise in New York Stock Exchange issues	Some machines make charts for presentations	some machines make charts for
We do not depend on pharmaceutical companies for our support	These big stocks greatly influence the Nasdaq Composite Index	big stocks nasdaq
Ashland had a loss	But the simplicity may be misleading	but the simplicity
An assassin in Colombia killed a federal judge on a Medellin street	Still others are looking at overseas markets	still others are looking at overseas
An American journalist now is standing trial in Namibia	Those portfolios are remarkably diversified	those portfolios are remarkably
Ashland had a loss	West German government officials and Western analysts are doubtful	west german government officials and western analysts are
October is a critical month for the privatization program	Both firms are in New York	both firms
Rents have soared along with house prices	Some in the industry are skeptical	some in the industry are
We were out of the box	He turned himself in to authorities in New York earlier this year	he turned himself in
Craig Forman in London contributed to this article	Market Data Retrieval is a compiler of educational information and provides related services	data retrieval is a compiler of educational information and provides related services
