demonstration	test_sentence	response
Another poked a hole in the heel of his shoe	There is no rational justification for such behavior	there is no rational justification
London shares closed moderately lower in thin trading	For months the resistance has been defenseless against air attack	for months the resistance defenseless against air attack
That cost rises in times of high market volatility	The company paid five cents a share in April	fail to follow
The two sides now are accusing each other of lying	They have about seven candidates	they have about
The competitive sniping can get pretty petty at times	The failed rights issue also should have a modest impact on British Air shares	the failed rights issue also
She was as cool as a cucumber	Some of these ideas are again under consideration in Congress	some of these ideas are again under consideration
The company earns about half its revenue overseas and plans further expansion	The Communists froze prices instead	the communists instead
Some equipment going to work is almost new	The Northeast and West regions were unchanged	the northeast and west regions were
The commercial was absolutely silent	Our international efforts were far greater than ever before	our international efforts were
The third principal in the South Gardens adventure did have garden experience	Japan is a major target for the Soviets	japan major target soviets
Some equipment going to work is almost new	One building in Palo Alto may be damaged beyond repair	one building in palo alto may be damaged
The embryo had progressed only to a clump of eight identical cells	He expects the price for that product to rise even more next year	he expects
Investors welcomed the move	Wall Street generally likes the industry again	wall street generally likes
The woman had nearly died	Wheat futures prices rose slightly	wheat futures prices
An American journalist now is standing trial in Namibia	Turkey in any event is long past it	turkey in any event is
He does this in at least three of his solo pieces	His boss complained about neglect of other chores	boss complain neglect other chores
The company develops and markets products for the food service industry	We cruise toward another set of pilings	we cruise toward another set of
We go from one to the other	Even some House Banking Committee members could suffer from the fallout	even house banking committee members suffer fallout
The measure also includes spending cuts and increases in federal fees	The estimate includes the results of new stores	the estimate includes the results of stores
Total return is price changes plus interest income	Kia is reportedly also considering such a plan	kia is also considering a plan
The two sides now are accusing each other of lying	Eventually viewers may grow bored with the technology and resent the cost	eventually viewers may grow
The outlook for corporate earnings is fairly bleak	Their verdict on real estate is almost the same	on real estate is almost the same
Sonja Steptoe and David Wilson contributed to this article	The selling by money managers and individual investors is turning traders bearish as well	the selling by money managers and individual investors turning traders bearish
Nissan created its quake ad in a weekend	We were out of the box	we were out
