demonstration	test_sentence	response
The end of the marriage was at hand	It blames most of these on Fatah	it blames most on fatah
Craig Torres and Anne Newman contributed to this article	For months the resistance has been defenseless against air attack	for months the resistance has been defenseless against
William Coors is their uncle	For months the resistance has been defenseless against air attack	for months the resistance has been
An American journalist now is standing trial in Namibia	Other major players in intimate apparel apparently feel the same way	other major players in intimate apparel apparently feel
Our teachers are not an important factor in our educational crisis	The film makers have couched this offensive idea in pretty packaging	the film makers have couched this offensive idea in
Total return is price changes plus interest income	This is a story about suckers	this is a story about
The embryo had progressed only to a clump of eight identical cells	The House version of the bill does include the tax cut	the house version
Investors welcomed the move	So the Federal Reserve is an attractive target for complaint by politicians	so the federal reserve is an attractive target
The end of the marriage was at hand	Americans place native or native speakers in charge of subsidiaries overseas	americans place in charge of subsidiaries overseas
He expects the price for that product to rise even more next year	And most of these are absolutely unnecessary	and most of these unnecessary
He expects the price for that product to rise even more next year	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	there are few fishing towns with atolls of resort houses nearby
The company also faces delisting by the National Association of Securities Dealers	It is merely the most obvious	fail to follow
London shares closed moderately lower in thin trading	Many of us are suckers	fail to follow
It also lowered some air fares	So the Federal Reserve is an attractive target for complaint by politicians	so the federal reserve is
Percentage differences based on daily sales rate rather than sales volume	Kitchen full of broken crystal	kitchen full
Nissan created its quake ad in a weekend	Miss Brady is deputy director of the Russian Research Foundation in London	miss brady is deputy director
The answer will be obvious	The owners meet again tomorrow	the owners meet again
Some equipment going to work is almost new	Turnover remained relatively small	turnover remained
This hurts the price of corporate bonds	But the savings will be minuscule	but the savings
Craig Torres and Anne Newman contributed to this article	The great silver clouds on the horizon build themselves on the pale water	the great silver clouds on the horizon build themselves on the
The measure also includes spending cuts and increases in federal fees	Many resorts also are focusing more on the service side of their business	many resorts also focusing more on service side of business
But slow sales forced Ford to kill the brand just last week	The selling by money managers and individual investors is turning traders bearish as well	the selling turning traders bearish as well
The appointments are part of a planned succession at the company	The figures are at seasonally adjusted annual rates in trillions of dollars	the figures are at seasonally adjusted annual rates
These revised figures also may explain some of the recent strength of the dollar	Details of credit enhancements vary widely from issue to issue	details of credit enhancements vary widely
