demonstration	demon_label	test_sentence	response	attachment	structure
The detective solved the mystery	The detective solved	The guy caught the rat with a trap	The guy caught with a trap	pp	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Michelle watched the movie with English subtitles	Michelle watched with English subtitles	pp	structure_1
The chef cooked the meal	The chef cooked	Bill cut the paper with a very bright colour	Bill cut with a very bright colour	pp	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The carpenter built the house	The carpenter built	The comedian entertained the crowd with witty jokes	The comedian entertained with witty jokes	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	The coach motivated the team with inspiring words	The coach motivated with inspiring words'	pp	structure_2
The programmer wrote the code	The programmer wrote	Jasmine sang the song with the lovely students	Jasmine sang with the lovely students	pp	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists	adjunct	structure_1
The actor memorized the script	The actor memorized	The police investigated the house with the permission	The police investigated with the permission	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The teacher explained the concept	The teacher explained	Mom melted the chocolate with an iron pot	Mom melted with an iron pot	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The baker baked the cake	The baker baked	The magician thanked the participant with a big nose	The magician thanked with a big nose	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Dan entered the room with a window	Dan entered with a window	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The hiker climbed the mountain	The hiker climbed	The doctor noticed the boy using big headphones	The doctor noticed using big headphones	pp	structure_1
The student read the book	The student read	Charles runs a photo studio with two floors	Charles runs with two floors'	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
