demonstration	demon_label	test_sentence	response	attachment	structure
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The flowers of the valley that had the old castle excited the tourists	'The flowers of excited the tourists'.	adjunct	structure_1
The baker baked the cake	The baker baked	The comedian entertained the crowd with witty jokes	The comedian entertained	pp	structure_2
The student solved the equation	The student solved	The basketball player won the game with his team	The basketball player won	pp	structure_2
The gardener watered the plants	The gardener watered	Michelle watched the movie with English subtitles	Michelle watched with English subtitles	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The driver of the car that had the moustache was pretty cool	The driver of had the moustache was cool	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The tailor altered the coat	The tailor altered	The magician thanked the participant with a big nose	The magician thanked	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The actor memorized the script	The actor memorized	The guy caught the rat with a scar	The guy caught with a scar	pp	structure_1
The musician tuned the guitar	The musician tuned	Charles runs a photo studio with two friends	Charles runs with two friends	pp	structure_2
The fisherman caught the trout	The fisherman caught	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart	adjunct	structure_2
The architect designed the building	The architect designed	the cook made the meal with a Chinese cleaver	the cook made	pp	structure_2
The driver steered the car	The driver steered	The doctor noticed the boy using big headphones	The doctor noticed using big headphones	pp	structure_1
The student read the book	The student read	Jasmine sang the song with romantic lyrics	Jasmine sang with romantic lyrics	pp	structure_1
The detective solved the mystery	The detective solved	Bill cut the paper with a very sharp knife	Bill cut with a very sharp knife	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The dancer performed the routine	The dancer performed	Dan entered the room with a window	Dan entered with a window	pp	structure_1
