demonstration	demon_label	test_sentence	response	attachment	structure
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The criminal of the gang that had a long scar disappeared last Monday	The criminal of that had a long scar disappeared last Monday	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Mom ate the chocolate with chopped nuts	Mom ate with chopped nuts.	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The chef cooked the meal	The chef cooked	Bruce leads the rock band with his voice	Bruce leads with his voice	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists	adjunct	structure_1
The tailor altered the coat	The tailor altered	The police investigated the house with the permission	The police investigated with the permission	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd.	adjunct	structure_1
The baker baked the cake	The baker baked	Bill cut the paper with a very sharp knife	Bill cut with a very sharp knife.	pp	structure_2
The bird sang a melody	The bird sang	The comedian saw the crowd with fresh flowers	The comedian saw 	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	Jasmine sang the song with romantic lyrics	Jasmine sang 	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The song of the singer that had long eyelashes was very smart	The song of the singer that had long eyelashes was very smart	adjunct	structure_1
The artist of the mural completed his work	The artist of completed his work	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The dancer performed the routine	The dancer performed	Van Gogh sold the paintings with a broken heart	Van Gogh sold with a broken heart	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The writer of the letter that had blonde hair arrived this morning	The writer of that had blonde hair arrived this morning	adjunct	structure_2
The teacher explained the concept	The teacher explained	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate with a red rose	pp	structure_1
The journalist reported the news	The journalist reported	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The gold of the miner that had the impurities was worthless	The gold of that had the impurities was worthless	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The inventor of the machine that had the goatee was amazing	The inventor of that had the goatee was amazing	adjunct	structure_2
The hiker climbed the mountain	The hiker climbed	The professor challenged the students with his projects	The professor challenged with his projects	pp	structure_2
The detective solved the mystery	The detective solved	Dan entered the room with a window	Dan entered	pp	structure_1
The driver steered the car	The driver steered	Charles runs a photo studio with two friends	Charles runs with two friends	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd	adjunct	structure_2
