demonstration	demon_label	test_sentence	response	attachment	structure
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The singer of the song that had long eyelashes was very smart	The singer of that long eyelashes was very smart	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Bill cut the paper with a very bright colour	Bill cut with a very bright colour.	pp	structure_1
The fisherman caught the trout	The fisherman caught	Bruce leads the rock band with his voice	Bruce leads with his voice.	pp	structure_2
The gamer played the game	The gamer played	the cook ate the meal with some cauliflowers	the cook ate with some cauliflowers.	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The writer of the letter that had blonde hair arrived this morning	The writer of that blonde hair arrived this morning.	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd.	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The singer composed a song	The singer composed	The magician thanked the participant with a big nose	The magician thanked.	pp	structure_1
The bird sang a melody	The bird sang	The professor recruited the students with black eyes	The professor recruited.	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	The police investigated the house with the permission	The police investigated with the permission.	pp	structure_2
The gardener watered the plants	The gardener watered	Michelle watched the movie with her boyfriend	Michelle watched with her boyfriend.	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The criminal of the gang that had a long scar disappeared last Monday	The criminal of that had a long scar disappeared last Monday.	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The painter of the house that had the small windows looked odd	The painter of looked odd.	adjunct	structure_1
The baker baked the cake	The baker baked	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The house of the painter looked odd	The house of looked odd	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of that had a nasty effect hurt everyone	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The editor of the thesis that had the big nose made a lot of sense	The editor of that had the big nose made a lot of sense	adjunct	structure_2
The director of the orchestra played well	The director of played well	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The carpenter built the house	The carpenter built	Jasmine sang the song with the lovely students	Jasmine sang with the lovely students	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The valley of the flowers that had the old castle excited the tourists	The valley of that had the old castle excited the tourists	adjunct	structure_2
The driver steered the car	The driver steered	Van Gogh sold the paintings with a broken heart	Van Gogh sold with a broken heart	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The actor memorized the script	The actor memorized	Charles runs a photo studio with two floors	Charles runs	pp	structure_1
The hiker climbed the mountain	The hiker climbed	The guy caught the rat with a trap	The guy caught with a trap	pp	structure_2
