demonstration	demon_label	test_sentence	response	attachment	structure
The collection of the store fascinated the students	The collection of fascinated the students	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd.	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense.	adjunct	structure_1
The gardener watered the plants	The gardener watered	The professor challenged the students with his projects	The professor challenged with his peojects.	pp	structure_2
The actor memorized the script	The actor memorized	The magician thanked the participant with a big nose	The magician thanked with a big nose.	pp	structure_1
The bird sang a melody	The bird sang	The comedian entertained the crowd with witty jokes	The comedian entertained with witty jokes.	pp	structure_2
The baker baked the cake	The baker baked	Bill cut the paper with a very sharp knife	Bill cut with a very sharp knife.	pp	structure_2
The teacher explained the concept	The teacher explained	Michelle watched the movie with her boyfriend	Michelle watched with her boyfriend.	pp	structure_2
The fisherman caught the trout	The fisherman caught	Mom ate the chocolate with chopped nuts	Mom ate with chopped nuts.	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The attorney of the company bothered me	The attorney of bothered me	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone.	adjunct	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The house of the painter that had the small windows looked odd	The house of  looked odd.	adjunct	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists.	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The gold of the miner that had the impurities was worthless	The gold of was worthless.	adjunct	structure_2
The musician tuned the guitar	The musician tuned	The doctor noticed the boy using big headphones	The doctor noticed.	pp	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The architect designed the building	The architect designed	Bruce leads the rock band with his voice	Bruce leads with his voice.	pp	structure_2
The gamer played the game	The gamer played	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The writer of the letter that had blonde hair arrived this morning	The writer of the letter arrived this morning.	adjunct	structure_2
The driver steered the car	The driver steered	The coach led the team with three members	The coach led.	pp	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The journalist reported the news	The journalist reported	Dan entered the room with a key	Dan entered with a key.	pp	structure_2
The song of the player is really popular	The song of is really popular	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday.	adjunct	structure_1
The park of the city delighted the children	The park of delighted the children	The singer of the song that had long eyelashes was very smart	The singer of was very smart.	adjunct	structure_2
The programmer wrote the code	The programmer wrote	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
