demonstration	demon_label	test_sentence	response	attachment	structure
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The inventor of the machine that had the goatee was amazing	The inventor that had the goatee was amazing.	adjunct	structure_2
The student solved the equation	The student solved	the cook ate the meal with some cauliflowers	the cook ate 	pp	structure_1
The gamer played the game	The gamer played	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of  hurt everyone	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate	pp	structure_1
The hiker climbed the mountain	The hiker climbed	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The singer of the song that had long eyelashes was very smart	none	adjunct	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The carpenter built the house	The carpenter built	The coach led the team with three members	The coach led	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The song of the player is really popular	The song of is really popular	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The dancer performed the routine	The dancer performed	The doctor saved the boy using a pacemaker	The doctor saved 	pp	structure_2
The detective solved the mystery	The detective solved	Charles runs a photo studio with two friends	Charles runs 	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The baker baked the cake	The baker baked	Bruce likes the rock band with different instruments	Bruce likes 	pp	structure_1
The actor memorized the script	The actor memorized	The basketball player won the game with lots of audience	The basketball player won	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	Van Gogh drew the paintings with starry night	Van Gogh drew	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	The comedian entertained the crowd with witty jokes	Van Gogh drew	pp	structure_2
