demonstration	demon_label	test_sentence	response	attachment	structure
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning.	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	The professor recruited the students with black eyes	The professor recruited.	pp	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The actor memorized the script	The actor memorized	Dan entered the room with a key	Dan entered.	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists.	adjunct	structure_2
The singer composed a song	The singer composed	Mom melted the chocolate with an iron pot	Mom melted with an iron pot.	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The driver of the car that had the moustache was pretty cool	The driver of that had the moustache was pretty cool.	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The police investigated the house with a garden	The police investigated.	pp	structure_1
The song of the player is really popular	The song of is really popular	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday.	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The painter of the house that had the small windows looked odd	The painter of looked odd.	adjunct	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone.	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	Bill cut the paper with a very bright colour	Bill cut with a very bright colour.	pp	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart.	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The editor of the thesis that had the big nose made a lot of sense	The editor of that had the big nose made a lot of sense.	adjunct	structure_2
The carpenter built the house	The carpenter built	The comedian entertained the crowd with witty jokes	The comedian entertained with witty jokes.	pp	structure_2
The student read the book	The student read	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Bruce likes the rock band with different instruments	Bruce likes.	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Charles runs a photo studio with two floors	Charles runs.	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The bishop of the church that had the funny eyebrows looked odd	The bishop of that had the funny eyebrows looked odd.	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Jasmine sang the song with the lovely students	Jasmine sang with the lovely students.	pp	structure_2
The gardener watered the plants	The gardener watered	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate with a silver fork.	pp	structure_2
The gamer played the game	The gamer played	The doctor saved the boy using a pacemaker	The doctor saved using a pacemaker.	pp	structure_2
