demonstration	demon_label	test_sentence	response	attachment	structure
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The dancer performed the routine	The dancer performed	Dan entered the room with a window	Dan entered.	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday.	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The painter of the house that had the small windows looked odd	The painter of looked odd.	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The inventor of the machine that had the goatee was amazing	The inventor of had the goatee.	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The bishop of the church that had the funny eyebrows looked odd	The bishop of the church looked odd.	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate.	pp	structure_1
The journalist reported the news	The journalist reported	The doctor noticed the boy using big headphones	The doctor noticed. 	pp	structure_1
The teacher explained the concept	The teacher explained	The comedian entertained the crowd with witty jokes	The comedian entertained.	pp	structure_2
The actor memorized the script	The actor memorized	The professor challenged the students with his projects	The professor challenged.	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The song of the singer that had long eyelashes was very smart	The song of had long eyelashes.	adjunct	structure_1
The park of the city delighted the children	The park of delighted the children	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us.	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Jasmine sang the song with the lovely students	Jasmine sang .	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists.	adjunct	structure_1
The driver steered the car	The driver steered	Bill cut the paper with a very bright colour	Bill cut .	pp	structure_1
The student read the book	The student read	The police investigated the house with the permission	The police investigated.	pp	structure_2
The programmer wrote the code	The programmer wrote	The guy caught the rat with a scar	The guy caught.	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone.	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The miner of the gold that had the impurities was worthless	The miner of was worthless.	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The singer composed a song	The singer composed	Bruce leads the rock band with his voice	Bruce leads.	pp	structure_2
The gardener watered the plants	The gardener watered	The magician amazed the participant with a fancy scene	The magician amazed.	pp	structure_2
The carpenter built the house	The carpenter built	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The song of the player is really popular	The song of is really popular	The thesis of the editor that had the big nose made a lot of sense	The thesis made a lot of sense.	adjunct	structure_1
