demonstration	demon_label	test_sentence	response	attachment	structure
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The song of the singer that had long eyelashes was very smart	The song of the singer was very smart	adjunct	structure_1
The student solved the equation	The student solved	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The lawyer argued the case	The lawyer argued	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The restaurant of the chef that had the blue tiles pleased us	The restaurant of the chef that had the blue tiles pleased us	adjunct	structure_2
The bird sang a melody	The bird sang	The guy caught the rat with a scar	The guy caught	pp	structure_1
The chef cooked the meal	The chef cooked	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	Dan entered the room with a key	Dan entered	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The letter of the writer that had blonde hair arrived this morning	The letter of had blonde hair arrived this morning	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The car of the driver that had the moustache was pretty cool	The car of  was pretty cool	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The inventor of the machine that had the goatee was amazing	The inventor of had the goatee was amazing	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of  had a nasty effect hurt everyone	adjunct	structure_1
The singer composed a song	The singer composed	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The painter of the house that had the small windows looked odd	The painter of  had the small windows looked odd	adjunct	structure_1
The carpenter built the house	The carpenter built	The magician amazed the participant with a fancy scene	The magician amazed 	pp	structure_2
The actor memorized the script	The actor memorized	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The hiker climbed the mountain	The hiker climbed	Charles runs a photo studio with two floors	Charles runs	pp	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The bishop of the church that had the funny eyebrows looked odd	The bishop of had the funny eyebrows looked odd	adjunct	structure_2
The mechanic fixed the engine	The mechanic fixed	The police investigated the house with a garden	The police investigated	pp	structure_1
The dancer performed the routine	The dancer performed	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The editor of the thesis that had the big nose made a lot of sense	The editor had the big nose made a lot of sense	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The valley of the flowers that had the old castle excited the tourists	The valley of had the old castle excited the tourists	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The gold of the miner that had the impurities was worthless	The gold of  had the impurities was worthless	adjunct	structure_2
