demonstration	demon_label	test_sentence	response	attachment	structure
The musician tuned the guitar	The musician tuned	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The student read the book	The student read	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	The professor recruited the students with black eyes	The professor recruited	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The bird sang a melody	The bird sang	The basketball player won the game with lots of audience	The basketball player won	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The hiker climbed the mountain	The hiker climbed	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The inventor of the machine that had the goatee was amazing	The inventor of was amazing	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	Bill cut the paper with a very bright colour	Bill cut	pp	structure_1
The pilot flew the airplane	The pilot flew	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate	pp	structure_1
The gamer played the game	The gamer played	Dan entered the room with a window	Dan entered	pp	structure_1
The driver steered the car	The driver steered	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The actor memorized the script	The actor memorized	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The bishop of the church that had the funny eyebrows looked odd	The bishop of the church looked odd	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	The comedian entertained the crowd with witty jokes	The comedian entertained	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The singer composed a song	The singer composed	Mom melted the chocolate with an iron pot	Mom melted	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
