demonstration	demon_label	test_sentence	response	attachment	structure
The designer of the dress took a bow	The designer of took a bow	The inventor of the machine that had the goatee was amazing	The inventor of was amazing	adjunct	structure_2
The pilot flew the airplane	The pilot flew	The guy caught the rat with a scar	The guy caught	pp	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of the drugs that had a nasty effect hurt everyone	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The student read the book	The student read	The basketball player won the game with lots of audience	The basketball player won	pp	structure_1
The actor memorized the script	The actor memorized	The coach led the team with three members	The coach led	pp	structure_1
The architect designed the building	The architect designed	The police investigated the house with the permission	The police investigated	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	Dan entered the room with a key	Dan entered	pp	structure_2
The student solved the equation	The student solved	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The detective solved the mystery	The detective solved	the cook made the meal with a Chinese cleaver	the cook made	pp	structure_2
The tailor altered the coat	The tailor altered	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The baker kneaded the dough	The baker kneaded	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The chef seasoned the soup	The chef seasoned	Charles runs a photo studio with two friends	Charles runs with two friends	pp	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists	adjunct	structure_1
The driver steered the car	The driver steered	The professor recruited the students with black eyes	The professor recruited with black eyes	pp	structure_1
The director of the orchestra played well	The director of played well	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
