demonstration	test_sentence	response
交流有些障碍了啊	这个是耳鼻喉科的手术申请单	fail to follow
那是外置天线	你是不是有车老师的邮箱之类的	你是不是有
我周四晚火车	梵西不适合小小朋友去的	梵西不适合小朋友
我就一个床一个桌子啊	你在那公司里做过吧	fail to follow
我的英文版在我这里啊	你发我邮箱	你发邮箱
还是你们在哪里再要一个孩子啊	囚犯参与剧本创作获殊荣	囚犯参与获殊荣
雨巷是总结过去的一种感情	这个也是要计算机专业的吗	这个也是要
他加入他们群了	你那里还有我的照片吗	你那里还有吗
我没有淘宝账号	你肯定是一个好爸爸	你肯定是
他们说暑假真不像个暑假	思八达是不是离你家很近	思八达是不是很近
哎这伤心是一时的	我已经不在乎了反正是太平公主	我已经不在乎了反正是
你只谈谈你的想法就行	我试下看看我这里能调试了不	fail to follow
我今年年初开始也白头发了	关键你男人家请客就行	你男人家请客就行
现在这里早上十点半	你下午几点结束	你下午
那我明早一大早打吗	他是知青子女正在读博士	他在读博士
这个公寓楼就是酒店式那种的	你自己住间房还是跟别人一起住啊	你自己住间房还是跟别人啊
我们没有初稿这一说	这周或下周我去社里	这周或下周我去
反正我觉得自己是这样的	你给我说你什么时候有时间	你给我说你什么时候有
心里先有个数	我给你介绍一个销售经理吧	我给你介绍一个吧
我预约了心脏彩超	那你还不就拿个提成	那你还不就拿个
那个旅馆在最边上	因为我手机是白的	因为我手机是
弱国就是大国的练兵场啊	我去找我妈吃饭了	我去找我妈了
上下水是房间的大头	那是旧社会	那是
她也是放弃了孩子的上课	我搬新家了	我搬了
