demonstration	test_sentence	response
我是借用你的话	这个能不能加点内容	这个能不能加点
那张有大师水平	自己处理点自己的事情	自己处理点
这样我会有心理负担	我周日晚上走	我周日晚上
哎我也是这个点起来的	那盘菜是红烧排骨	那盘菜是排骨
你看我身边的老乡	你真不知道男孩女孩啊	你真不知道
你自己住间房还是跟别人一起住啊	当权者不能保护自己的国民	当权者不能保护
你是男的女的呀	你同学在哪家医院的	fail to follow
土地基金增强特区财政储备	我真的不明白这其中的事	我真的不明白
飞月的也在我这里	钱从你那里走	钱走
这个也是要计算机专业的吗	怀孕不是个好活	fail to follow
昨天那个阿姐叫什么名字啊	这个啥意思	这个啥
我等下写个大概数给你发过去	人家是个大型连锁	人家是个连锁
我只听过他家的卸妆油	你下午几点结束	你结束
现在这里早上十点半	我没有干妈的微信	我没有微信
十月一日为法定假日	你觉得哪个行的最好	你觉得最好
所以你换家医院看看不行吗	我下班去买点药	我下班去买点
所以技术人员一般都拿不了多少钱	我要打造巨星品牌	我要打造
你男人已经把你当成私有财产了	我跟隔壁的用的一根网线	我跟隔壁的用的
我都是用网络硬盘的	但是公司有营销策划部门	但是公司有
欧元促进电子商务发展	我们做弱电系统	我们做
我搬新家了	你上午还是下午有时间做	你上午还是下午做
关键是铁饭碗刮不出多少金子来啊	哎我今天中午也没睡觉	哎我今天中午也没
这是我的简历	你啥时候走	你走
你就带着这些东西来就好了	房子车子都不是我们的名字	都不是我们的名字
