demonstration	test_sentence	response
当权者不能保护自己的国民	你说模块上的接口吗	你说模块接口
我们做弱电系统	哎我今天中午也没睡觉	fail to follow
你找天来我宿舍拿吧	弱国就是大国的练兵场啊	弱国就是练兵场
你每个月包多少流量啊	你打下我电话吧	你打我吧
你雇了多少个人	你觉得你的小啊	fail to follow
这是原先的模板	我周日晚上走	我周日
我要打多少年的工呀	不过我在你后面	我在后面
编译出啥问题了	你有朋友找女朋友吗	朋友找女朋友吗
你可以搜索一下他的文章什么的	这个也是要计算机专业的吗	这也是计算机吗
可是中间有个时间差	我就是那时候开始学习医学常识	我那时候开始学习
其实穷也是一种幸福	忠厚保持到生命最后一刻	忠厚到最后
他加入他们群了	其实里面也没有爱情故事	其实没有爱情
那你还是打印电子版的吧	我就一个床一个桌子啊	我就一个啊
我下采购单	他说我与时代脱节了	我脱节
你啥时来	法律是道德的最底线	法律是道德的底线
各拥一片天	你就带着这些东西来就好了	带着
他不是你亲弟弟吧	我开了个淘宝店	我开了店
这个公寓楼就是酒店式那种的	这个是什么意思	什么意思
那是男厕所	因为这里面有一些程序要走吧	这里
这是互相的	龙猫属于夜行动物	fail to follow
我周四晚火车	你叫什么名字	你叫
我预约了心脏彩超	你看社区地图	你看
反正我是没洗过十多分钟的脸	哦我们没有这么多人	没这么多
你只谈谈你的想法就行	那只是一方面	只一方面
