demonstration	test_sentence	response
你大概是什么时候过来	关键是铁饭碗刮不出多少金子来啊	关键是铁饭碗刮不出来啊
土地基金增强特区财政储备	你是啥星座呀	你是啥呀
现在你用什么模块	网上有房型图	网上有
你要是个男的就好了	呵呵我无名小卒一枚	呵呵我一枚
他们报了什么兴趣班	新国标放宽了钢材的使用范围	新国标放宽了
你可以去研究这种社会课题了	这个是耳鼻喉科的手术申请单	这个是
我也有过这样的经历	我要打多少年的工呀	我要打呀
路由器在我这边	你可以搜索一下他的文章什么的	你可以搜索一下
他们没有经济来源吗	但是房子里还有一个房间	但是房子里还有
你是不是有车老师的邮箱之类的	我没往这方面考虑过	我没往考虑过
我提供电子版的	他是退工资的吧	他是退的吧
你去给我带个眼霜	这个交通标识是什么意思	这个交通标识是
我在看那套小说	原来你是个诗人	原来你是
不过我在你后面	你要根据我们模块上的接口来配置	你要来配置
飞月的也在我这里	我可没那么多钱	我可没
所以你换家医院看看不行吗	你有什么打算吗	你有什么吗
我没见过她老公	他家各种黄片啊	他家各种啊
你这年纪轻轻滴失眠个什么撒	我是大爷型的	fail to follow
你同学在哪家医院的	我懂他的意思	我懂
我下采购单	可是中间有个时间差	可是中间有
孩子们去同学家过生日去了	我怎么觉得我有点晚睡强迫症	我怎么觉得我有
这个也是要计算机专业的吗	旧手机还在你那里吗	旧手机还在吗
恩我有现成的	我只听过他家的卸妆油	我只听过
你说你们这届的	这个啥意思	这个
