demon	d_label	test	start	end	prediction
那女主一开始还是光头的	光头的	男人不差在别的地方	20	26	不差在别的地方
旧手机还在你那里吗	你那里	他们可能是通过其他渠道知道的	24	28	他渠道知道
我周六凌晨的飞机	周六凌晨的飞机	关键是他的英语水平跟我一样	22	24	他的英
你有朋友找女朋友吗	女朋友	我觉得你公公婆婆真好	19	22	你公公婆
一个破游戏圈多少钱啊	多少钱	关键是学校的成绩单不好印	19	25	是学校的成绩单
这个不是我的	我的	我没用电压力锅给她做过	19	22	给她做过
最近我们这里下了很多场大雪	很多场大雪	你在国外课题做的怎样了	30	27	nan
那女主一开始还是光头的	光头的	我以为他其实在别人面前失分了	21	30	他其实在别人面前失分
你们现在是周一早上吧	周一早上	钱从你那里走	20	22	你那里
那女主一开始还是光头的	光头的	我说你认为什么车比较不错啊	23	23	什
切切明天你啥时候面试啊	啥时候	我跟我室友說了	21	22	室友
呵呵我无名小卒一枚	无名小卒一枚	你给你哥哥说一声	19	26	你给你哥哥说一声
那你找找那本书	那本书	你这个地址到什么时候有效呢	20	22	什么时
然后我还买了一些那种	一些那种	你认为我丫头这很不好	24	23	nan
最近我们这里下了很多场大雪	很多场大雪	呵呵只是我怕我的能力有限呀	16	33	多场大雪。[SEP]呵呵只是我怕我的能力有限
我明天有健步走活动	健步走活动	我爸只活在自己的世界里	19	26	爸只活在自己的世
我靠我真不该换这个签名的	这个签名	你直接和你哥哥联系吧	20	22	你直接
灵感来自我师母	我师母	外交要以国家民族利益为要	26	22	nan
你说我上这班有吗劲	这班	现在选择权在我手上啊	19	22	权在我手
最近我们这里下了很多场大雪	很多场大雪	订座系统在我们手里	16	22	多场大雪。[SEP]订
不过她应该也有些心理准备了	些心理准备	我没往这方面考虑过	25	30	这方面考虑过
我带自己的电脑啊	自己的电脑	超声最近貌似新文章不多	27	27	多
奶妈是不是切断了跟外界滴联系啊	跟外界滴联系	她老公对她和家人都挺好	25	32	她老公对她和家人
我去找我妈吃饭了	我妈	我把很多朋友	17	17	多
他们说暑假真不像个暑假	个暑假	男人不差在别的地方	20	26	不差在别的地方
家是外地的	外地的	我这里有个特快过去	20	16	nan
这个有点难度考倒了一堆人	点难度	我以为他其实在别人面前失分了	22	31	他其实在别人面前失分
你要给我客人的护照号码和名字	客人的护照号码和名字	我刚给那个男孩说了	34	21	nan
你平时有什么业余爱好啊	什么业余爱好	你认为我丫头这很不好	27	22	nan
大屏幕只是一个卡	一个卡	男人不差在别的地方	17	22	不差在别的地
你去给我带个眼霜	个眼霜	你觉得你的小啊	18	10	nan
那你喜欢什么样的	什么样的	她在跟她老公打电话	10	22	什么样的。[SEP]她在跟她老公打
那你还不就拿个提成	个提成	你在国外课题做的怎样了	24	21	nan
那个是所有的	所有的	我经常跟我妈提起你们	21	22	你们
我靠我真不该换这个签名的	这个签名	那你俩不是跟天气他们差不多	32	32	多
我整理没有电子病历	电子病历	我以为他其实在别人面前失分了	20	29	他其实在别人面前失分
我已经不在乎了反正是太平公主	太平公主	嗯我上周给我们部门的人讲课	31	34	的人讲课
你在忙么司	么司	我住在我大舅子家	19	7	nan
那你喜欢什么样的	什么样的	里面有一个工具可以打开串口的吧	10	28	什么样的。[SEP]里面有一个工具可以打开串口
一张胶片多少钱大概	多少钱	超声最近貌似新文章不多	26	22	nan
我看中了件欧时力的大衣	件欧时力的大衣	那是因为你自己这样觉得	29	30	这样
那是外置天线	外置天线	我会和我同事分享的	18	20	同事分
我们看看做个标书	个标书	你在国外课题做的怎样了	23	20	nan
我已经不在乎了反正是太平公主	太平公主	你跟销售经理说说	22	27	你跟销售经理
我靠我真不该换这个签名的	这个签名	我有个事要找你	26	22	nan
我没那么大勇气	那么大勇气	我刚给那个男孩说了	19	20	那个
我下个月去买车	下个月	你在国外课题做的怎样了	22	19	nan
那你还不就拿个提成	个提成	现在选择权在我手上啊	19	24	择权在我手上
你们是什么公司啊	什么公司	反正我觉得我爸妈也不着急我嫁人	25	27	不着急
你能故事我你电话吗	我你电话	我同事说我的外套都没型	26	23	nan
我现在搞计算机方面的	计算机方面的	我记得大姑肝功能也不是很好的	31	22	nan
我都是问中文的	中文的	你和我哥差不多大	20	20	多
切切明天你啥时候面试啊	啥时候	我同事说我的外套都没型	19	24	同事说我的外
他们刚开会酒店分析会	酒店分析会	他老说有些人的性格要改了	19	28	他老说有些人的性格要
他搞他的我搞我的	他的	思八达是不是离你家很近	21	24	你家很近
我都是问中文的	中文的	我想我适应能力还是很强的	21	24	还是很强
你们现在是周一早上吧	周一早上	你直接和你哥哥联系吧	18	24	你直接和你哥哥
我现在搞计算机方面的	计算机方面的	她的比我的好弄	20	22	她的比
你看这面儿这个	这面儿这个	我可以说里面的狗可爱么	18	24	以说里面的狗可
那是教育的问题	教育的问题	整个国家公园都建在一个活火山上	31	26	nan
你说我上这班有吗劲	这班	我在我家已经做过菜请他了	25	22	nan
它分蛮多版面	蛮多版面	我会和我同事分享的	18	15	nan
不过我不敢跟她聊这方面	这方面	那他不是不跟你们的行程一样了	19	27	他不是不跟你们的行
要不你住我们家附近的酒店	我们家附近的酒店	你在那公司里做过吧	24	31	你在那公司里做过
那人都是这样的啊	这样的	这个时候你会觉得你自己的	19	24	你会觉得你自
我感觉你身上有他的影子	他的影子	她老公对她和家人都挺好	19	22	她老公对
小兵立大功	大功	反正我觉得我爸妈也不着急我嫁人	20	22	不着急
我要打多少年的工呀	多少年的工	关键是学校的成绩单不好印	4	26	多少年的工呀。多少年的工。[SEP]关键是学校的成绩单
其实里面也没有爱情故事	爱情故事	我记得大姑肝功能也不是很好的	28	22	nan
奶妈是不是切断了跟外界滴联系啊	跟外界滴联系	我住在我大舅子家	33	32	nan
你雇了多少个人	多少个人	你要根据我们模块上的接口来配置	19	22	我们模块
你有朋友找女朋友吗	女朋友	你说你那里的算便宜了吧	18	22	你那里的算
我靠我真不该换这个签名的	这个签名	师傅的心在师母身上	8	28	这个签名的。这个签名。[SEP]师傅的心在师母身上
你换用皮卡车吧	皮卡车	你认为我丫头这很不好	20	22	这很不
奶妈是不是切断了跟外界滴联系啊	跟外界滴联系	我们按这个标准交	28	32	这个标准交
这是你们什么时候拍的	什么时候	我说你认为什么车比较不错啊	23	23	什
我老实实地照你的方配的	你的方	那不是你父母来了吗	19	22	不是你父
家是外地的	外地的	你觉得你的小啊	19	17	nan
我老实实地照你的方配的	你的方	你们一家的照片比我的还多	29	29	多
弱国就是大国的练兵场啊	大国的练兵场	我们按这个标准交	24	27	这个标准
我去找我妈吃饭了	我妈	这个时候你会觉得你自己的	18	23	你会觉得你自
我现在搞计算机方面的	计算机方面的	你认为我丫头这很不好	26	22	nan
我周六凌晨的飞机	周六凌晨的飞机	你要一个卡子一个的拍	19	22	你要一个
这个不是我的	我的	账务公开什么的跟组织结构无关	16	22	什么的跟组织结
小兵立大功	大功	你说他家有什么	16	16	什
他们说暑假真不像个暑假	个暑假	整个国家公园都建在一个活火山上	33	28	nan
你不知道他的凶样	他的凶样	我记得大姑肝功能也不是很好的	25	22	nan
那人都是这样的啊	这样的	人家站在洋人的立场操作	26	23	nan
龙猫属于夜行动物	夜行动物	我记得你老婆之前就开过美容院呢	19	29	你老婆之前就开过美容院
其他都是园林类的	园林类的	超声最近貌似新文章不多	26	22	nan
我明天有健步走活动	健步走活动	我说你认为什么车比较不错啊	23	23	什
我写点东西你早点休息吧	点东西	因为这里面有一些程序要走吧	20	10	nan
我周一交了作业再和她打个电话吧	个电话	我往你那走了我来找你啦	31	12	nan
有些还要研究生而且要男的	男的	现在的都是人力公司外派	20	7	nan
我周一交了作业再和她打个电话吧	个电话	师傅的心在师母身上	31	22	nan
我准备了好长时间嗯	好长时间	我以为他其实在别人面前失分了	20	29	他其实在别人面前失分
忍字头上一把刀啊	一把刀	我说你认为什么车比较不错啊	20	22	什么车
你不知道他的凶样	他的凶样	孩子躺在母亲的臂弯里	21	23	亲的臂
我登我的看看	我的	我在这边看到这种的卖的很贵	18	18	这
这个是小影院	小影院	人家站在洋人的立场操作	19	21	的立场
奶妈是不是切断了跟外界滴联系啊	跟外界滴联系	领导们正在天上人间喝茅台呢	38	33	nan
不过我不敢跟她聊这方面	这方面	那是因为你自己这样觉得	25	26	这样
男孩不能太乖这是我的看法	我的看法	那是因为你自己这样觉得	27	28	这样
你们现在是周一早上吧	周一早上	你在那公司里做过吧	18	23	你在那公司里
大屏幕只是一个卡	一个卡	样子和我小时候一模一样	19	22	小时候一
灵感来自我师母	我师母	关键是他的英语水平跟我一样	17	22	他的英语水平
她天天做你的	你的	嗯我上周给我们部门的人讲课	19	24	部门的人讲课
它分蛮多版面	蛮多版面	你在那条道过来啊	20	17	nan
你们要各自完成一个贺卡	一个贺卡	你在那条道过来啊	19	22	你在那条
呵呵我无名小卒一枚	无名小卒一枚	领导们正在天上人间喝茅台呢	27	27	间
电脑就是处理器显卡和内存	处理器显卡和内存	你给你哥哥说一声	26	31	你哥哥说一声
那个是所有的	所有的	她老公对她和家人都挺好	21	22	都挺
我要打多少年的工呀	多少年的工	孩子躺在母亲的臂弯里	18	22	孩子躺在母
这是你们什么时候拍的	什么时候	领导们正在天上人间喝茅台呢	12	26	什么时候。[SEP]领导们正在天上人间
小兵立大功	大功	他老说有些人的性格要改了	18	22	性格要改了
你们现在是周一早上吧	周一早上	你觉得你的小啊	18	23	你觉得你的小
他远程指挥他们的人	他们的人	反正我觉这人就是	21	22	这人
他搞他的我搞我的	他的	你天天和俺大叔那边聊吗	19	22	大叔那边
我觉得你是一个很	一个很	那是因为你自己这样觉得	22	23	这样
最近我们这里下了很多场大雪	很多场大雪	你要一个卡子一个的拍	16	29	多场大雪。[SEP]你要一个卡子一个
其他都是园林类的	园林类的	师傅的心在师母身上	25	24	nan
我准备了好长时间嗯	好长时间	人家不觉的咱那是对她好	19	8	nan
你就带着这些东西来就好了	这些东西	你公公肯定怕你和你对象乱花钱	28	22	nan
他远程指挥他们的人	他们的人	你们一家的照片比我的还多	28	28	多
你雇了多少个人	多少个人	我经常跟我妈提起你们	23	22	nan
香车美女红色甲壳虫是你座驾	你座驾	你觉得我性格里的最大缺点是什么	33	33	什
哎我今天中午也没睡觉	今天中午	那你俩不是跟天气他们差不多	30	30	多
这就是主任的啊	主任的	下面还有老些老总等着	19	22	些老总等
香车美女红色甲壳虫是你座驾	你座驾	我有个事要找你	26	22	nan
你不知道他的凶样	他的凶样	超声最近貌似新文章不多	26	22	nan
哦你们是真正的中产阶级	真正的中产阶级	我跟我室友說了	25	9	nan
我跟他都做了酒店的英语测试	酒店的英语测试	我其实觉得不同章不会死吧	32	33	不会
国内驾照只能在这里用一个月	一个月	呵呵只是我怕我的能力有限呀	20	22	呵呵只
我觉得你是一个很	一个很	我已经不会为这些事情纠结了	21	22	这些
宾大在费城市内有点吵不过还行	费城市内	现在的都是人力公司外派	33	18	nan
