demon	d_label	test	start	end	prediction
那女主一开始还是光头的	光头的	男人不差在别的地方	24	25	的地
旧手机还在你那里吗	你那里	他们可能是通过其他渠道知道的	24	29	他渠道知道的
我周六凌晨的飞机	周六凌晨的飞机	关键是他的英语水平跟我一样	24	23	nan
你有朋友找女朋友吗	女朋友	我觉得你公公婆婆真好	24	25	真好
一个破游戏圈多少钱啊	多少钱	关键是学校的成绩单不好印	25	22	nan
这个不是我的	我的	我没用电压力锅给她做过	18	17	nan
最近我们这里下了很多场大雪	很多场大雪	你在国外课题做的怎样了	30	29	nan
那女主一开始还是光头的	光头的	我以为他其实在别人面前失分了	30	23	nan
你们现在是周一早上吧	周一早上	钱从你那里走	23	21	nan
那女主一开始还是光头的	光头的	我说你认为什么车比较不错啊	23	23	什
切切明天你啥时候面试啊	啥时候	我跟我室友說了	13	15	啥时候
呵呵我无名小卒一枚	无名小卒一枚	你给你哥哥说一声	24	12	nan
那你找找那本书	那本书	你这个地址到什么时候有效呢	20	23	什么时候
然后我还买了一些那种	一些那种	你认为我丫头这很不好	24	27	这很不好
最近我们这里下了很多场大雪	很多场大雪	呵呵只是我怕我的能力有限呀	24	33	只是我怕我的能力有限
我明天有健步走活动	健步走活动	我爸只活在自己的世界里	24	21	nan
我靠我真不该换这个签名的	这个签名	你直接和你哥哥联系吧	26	17	nan
灵感来自我师母	我师母	外交要以国家民族利益为要	19	20	家民
你说我上这班有吗劲	这班	现在选择权在我手上啊	24	21	nan
最近我们这里下了很多场大雪	很多场大雪	订座系统在我们手里	30	23	nan
不过她应该也有些心理准备了	些心理准备	我没往这方面考虑过	30	27	nan
我带自己的电脑啊	自己的电脑	超声最近貌似新文章不多	24	25	文章
奶妈是不是切断了跟外界滴联系啊	跟外界滴联系	她老公对她和家人都挺好	26	33	老公对她和家人都
我去找我妈吃饭了	我妈	我把很多朋友	17	19	多朋友
他们说暑假真不像个暑假	个暑假	男人不差在别的地方	13	25	个暑假。[SEP]男人不差在别的地
家是外地的	外地的	我这里有个特快过去	16	16	个
这个有点难度考倒了一堆人	点难度	我以为他其实在别人面前失分了	22	25	他其实在
你要给我客人的护照号码和名字	客人的护照号码和名字	我刚给那个男孩说了	32	24	nan
你平时有什么业余爱好啊	什么业余爱好	你认为我丫头这很不好	13	23	什么业余爱好。[SEP]你认为
大屏幕只是一个卡	一个卡	男人不差在别的地方	11	21	个卡。[SEP]男人不差在别的
你去给我带个眼霜	个眼霜	你觉得你的小啊	6	19	个眼霜。个眼霜。[SEP]你觉得你的
那你喜欢什么样的	什么样的	她在跟她老公打电话	10	21	什么样的。[SEP]她在跟她老公
那你还不就拿个提成	个提成	你在国外课题做的怎样了	24	23	nan
那个是所有的	所有的	我经常跟我妈提起你们	2	21	个是所有的。所有的。[SEP]我经常跟我妈提起你
我靠我真不该换这个签名的	这个签名	那你俩不是跟天气他们差不多	28	17	nan
我整理没有电子病历	电子病历	我以为他其实在别人面前失分了	20	27	他其实在别人面前
我已经不在乎了反正是太平公主	太平公主	嗯我上周给我们部门的人讲课	24	31	上周给我们部门的
你在忙么司	么司	我住在我大舅子家	18	14	nan
那你喜欢什么样的	什么样的	里面有一个工具可以打开串口的吧	20	29	个工具可以打开串口的
一张胶片多少钱大概	多少钱	超声最近貌似新文章不多	26	23	nan
我看中了件欧时力的大衣	件欧时力的大衣	那是因为你自己这样觉得	28	32	己这样觉得
那是外置天线	外置天线	我会和我同事分享的	20	15	nan
我们看看做个标书	个标书	你在国外课题做的怎样了	6	22	个标书。个标书。[SEP]你在国外课题做的
我已经不在乎了反正是太平公主	太平公主	你跟销售经理说说	28	27	nan
我靠我真不该换这个签名的	这个签名	我有个事要找你	22	17	nan
我没那么大勇气	那么大勇气	我刚给那个男孩说了	20	20	个
我下个月去买车	下个月	你在国外课题做的怎样了	24	21	nan
那你还不就拿个提成	个提成	现在选择权在我手上啊	24	21	nan
你们是什么公司啊	什么公司	反正我觉得我爸妈也不着急我嫁人	10	27	什么公司。[SEP]反正我觉得我爸妈也不着急
你能故事我你电话吗	我你电话	我同事说我的外套都没型	24	27	套都没型
我现在搞计算机方面的	计算机方面的	我记得大姑肝功能也不是很好的	33	33	的
我都是问中文的	中文的	你和我哥差不多大	17	21	哥差不多大
切切明天你啥时候面试啊	啥时候	我同事说我的外套都没型	13	15	啥时候
他们刚开会酒店分析会	酒店分析会	他老说有些人的性格要改了	19	25	他老说有些人的
他搞他的我搞我的	他的	思八达是不是离你家很近	24	21	nan
我都是问中文的	中文的	我想我适应能力还是很强的	24	25	强的
你们现在是周一早上吧	周一早上	你直接和你哥哥联系吧	24	20	nan
我现在搞计算机方面的	计算机方面的	她的比我的好弄	26	21	nan
你看这面儿这个	这面儿这个	我可以说里面的狗可爱么	13	22	个。[SEP]我可以说里面的
那是教育的问题	教育的问题	整个国家公园都建在一个活火山上	26	27	个活
你说我上这班有吗劲	这班	我在我家已经做过菜请他了	25	25	他
它分蛮多版面	蛮多版面	我会和我同事分享的	20	15	nan
不过我不敢跟她聊这方面	这方面	那他不是不跟你们的行程一样了	19	27	他不是不跟你们的行
要不你住我们家附近的酒店	我们家附近的酒店	你在那公司里做过吧	30	25	nan
那人都是这样的啊	这样的	这个时候你会觉得你自己的	16	18	个时候
我感觉你身上有他的影子	他的影子	她老公对她和家人都挺好	25	27	家人都
小兵立大功	大功	反正我觉得我爸妈也不着急我嫁人	24	25	嫁人
我要打多少年的工呀	多少年的工	关键是学校的成绩单不好印	26	23	nan
其实里面也没有爱情故事	爱情故事	我记得大姑肝功能也不是很好的	32	32	的
奶妈是不是切断了跟外界滴联系啊	跟外界滴联系	我住在我大舅子家	32	31	nan
