demonstration	test_sentence	response
Most other states have enacted similar bans	Maybe it was their peculiar sense of history	Maybe it was.
He softened the talk about a recession	Those viewers find the show confusing	Those viewers find.
The issue here may be the soundness of the guarantee	Sears is also stepping up its television ads and changing its message	Sears is also.
And there were other blunders	There was no appreciable market impact from the California earthquake	There was.
The engine plant may encompass plans for a joint components venture with Jaguar	Two big stocks involved in takeover activity saw their short interest surge	Two big stocks involved in takeover activity saw.
Miss Brady is deputy director of the Russian Research Foundation in London	They are awaiting an arbitration proceeding	They are.
Slowing economies in some areas limit student choice	This is a story about suckers	This is.
Many fund managers have boosted their cash levels in recent weeks	Analysts expect further jitters this week	Analysts expect  this week.
Deutsche Bank has actively sought a French acquisition for at least two years	Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Its previous proposal had conditioned rate limits.
The reason was not high interest rates or labor costs	The company earns about half its revenue overseas and plans further expansion	The company earns.
The mining zone has thus remained one of the most desolate places in Africa	The coating segment also posted higher sales particularly in North America and Europe	The coating segment also posted.
Most analysts had expected a sharper decline after the steep rise in August	But violation could bring substantial tax penalties to both employer and employees	But violation could bring to both employer and employees.
The report of the bankruptcy filing stunned Hollywood executives and investors	The historical profession will survive these decisions	The historical profession will survive.
Scientists also are exploring memory and perception with the new machines	Florida National said yesterday that it remains committed to the merger	Florida National said yesterday.
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	Dow Jones is the publisher of The Wall Street Journal	Dow Jones is.
The company also makes optical character recognition equipment	Many small investors went for the safety of money market funds	Many small investors went.
Chandler might have been predicting the course of his own career	Employees wore identification badges listing not only their names but also their dates of hire	Employees wore.
Accepted theories state that investors require higher returns on riskier investments	The June killings magnified the problems	The June killings magnified.
Now a rocky stock market and weak corporate profits may further threaten the economy	Brand loyalty was stronger among older consumers in the Journal survey	Brand loyalty was.
It also would have reduced mandatory overtime	Michael Applebaum resigned after less than a year in the posts	Michael Applebaum resigned after less than a year.
Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	The problem is not that the Fed is too unresponsive to the public interest	The problem is not.
It was an audacious claim	Most sleep on the floor	Most sleep.
Opponents show that there are already more funds available than commendable reform efforts	He hit the lanes three years ago on the advice of his doctor	He hit three years ago.
Magazine publishers are facing spiraling costs and a glut of new titles	He was back in jail over the summer on shoplifting charges	He was back.
