demonstration	test_sentence	response
He is our most dangerous enemy	He will continue as a director	He does.
This hurts the price of corporate bonds	The new exchange drew instant recognition from an unwelcome quarter	The new exchange drew.
The loss of the cigarette account would be a severe blow to Wells Rich	People have been very respectful of each other	People have been
Lackluster returns are one reason	Some even see a silver lining in the dark clouds	Some even see
Recruiter Donald Clark does note an increase in searches for minority candidates	Advertisers attribute this shared loyalty to the striking similarity among brands	Adevertisers attribute this
And transfer control of much of it to Capitol Hill	Compound yields assume reinvestment of dividends and that current yields continue for a year	Compound yields assume for a year
And they are a very odd team in any case	Yet he has proved more resilient than any of them	Yet he has any of them
Steppenwolf needs the extra seats even more than the fly space	The suit seeks unspecified damages	The suit seeks damages
Next year may see a drop of one percentage point	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	stocks rose
But the lovebirds have a conflict	And she has this inexhaustible energy	and she has
Judges will write the real bill as suits roll through the courts	Yet some funds have pulled in their horns	yet some funds have in their horns
Funds for drilling may inch up more next year if oil prices stay stable	Buyers stepped in to the futures pit	buyers stepped in to
One big problem has been the thoroughbred racehorse market	At least half that growth will have come in the past three years alone	at least half that growth will have
Baker had lots of them	He is a lawyer with a string of academic degrees	he is
Most recently he had been executive vice president for planning and finance at Texas Air	But the two countries remain separated by a cultural barrier wider than the ocean	but the two countries remain
Nausea and vomiting are other common side effects	These people have different agendas	these people have
He said that the research team had no financial stake in the drug	The states have their own ideas about regulation and certification	the states have
The tribe is one of the poorest in the Pacific Northwest	It was an audacious claim	it was
Fog shrouded the base before touchdown	But the Rockefeller investment is its largest	but the rockefeller investment is large
They looked at the miniature and saw a giant folly	Other temperature data show similar unexplained swings	other temperature date show
These are curious times in South African politics	Copper prices fell sharply Friday afternoon	copper prices fell
This is New York City	Stock prices finished about unchanged Friday in quiet expiration trading	stock prices finished
Chandler might have been predicting the course of his own career	The chimney is a pile of bricks on the front lawn	the chimney is a pile of bricks
Magazine publishers are facing spiraling costs and a glut of new titles	Institutional investors mostly remained on the sidelines Tuesday	institutional investors mostly remained
