demonstration	test_sentence	response
Fog shrouded the base before touchdown	Soon she was running the office	Soon she was running
Some have raised their cash positions to record levels	Portrait studios have also latched onto the trend	Portrait studios have also latched onto the trend
Competition and mounting insurance and equipment costs have been the undoing of many resorts	We were out of the box	We were
He withdrew the remark	Utilities management is a major commercial niche	Utilities management is
The mining zone has thus remained one of the most desolate places in Africa	Estimated volume was three million ounces	Estimated volume was
It has more drug users than Boston has people	Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark does note
The loyal servant has come full circle	The market has grown relatively quiet since the China crisis	The market has grown
Some current rates exceed those on CDs	Ski promotions have traditionally avoided the touchy issue of safety	Ski promotions have traditionally avoided
All along they have been noting the tremors and pointing out the underlying realities	Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	Both executives left after clashes with Chairman Ralph Ingersoll Jr
Japanese government bonds showed little change	They lied to me on the recruiting trip	They lied to me on the recruiting trip
Employees wore identification badges listing not only their names but also their dates of hire	Magazine publishers are facing spiraling costs and a glut of new titles	Magazine publishers are facing
The company is facing a takeover proposal from the financier Sir James Goldsmith	But there is a grimly ironic twist to the Columbia loss	But there is
The House version would raise slightly more	Abortion via the pill is far more of an ordeal than conventional surgical abortion	Abortion via the pill is
State loan guarantees are rarely a source of controversy	The pilots argued that this triggered a pay raise for them	The pilots argued that
The Ways and Means Committee will hold a hearing on the bill next Tuesday	Compound yields assume reinvestment of dividends and that current yields continue for a year	Compound yields assume and that current yields continue for a year
Accounting problems raise more knotty issues	He got three trucks and a backhoe cheap	He got cheap
Chandler might have been predicting the course of his own career	Your story is an insult to the citizens of the Mississippi Delta	Your story is
The announcement fueled speculation for future advances in the shares	The company also faces delisting by the National Association of Securities Dealers	The company also faces
Other network applications have very different goals	Some abortion advocates have been asking themselves this very question	Some abortion advocates have been asking
Creative accounting is a hallmark of federal credit	There will be recreation and movie rooms	There will be
He hit the lanes three years ago on the advice of his doctor	The majority of the bikes never even make it into the high country	The majority of the bikes never even make into the high country
Nausea seems a commonplace symptom	Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	Wang got
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	But observers expect broad support	But observers expect
But its surprising progress so far holds important lessons for companies in trouble	Wilfred closed its Massachusetts schools earlier this year	Wilfred closed earlier this year
