demonstration	test_sentence	response
Unilever already has experienced some disappointment	The biggest flurry of investor activity came early in the day	It came early in the day.
The British economy is hardly the picture of health these days	This is New York City	New York.
Columbia announced the results after the close of the stock market	Traders can vary their strategies and execute their orders in any one of them	Traders can vary and execute accordingly.
Others analyze the data	Some current rates exceed those on CDs	Current rates exceed.
Opponents show that there are already more funds available than commendable reform efforts	Federal Paper Board sells paper and wood products	Federal Paper Board sells.
But they will have disappointing returns or even losses if interest rates rise instead	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	Chicage has the largest outside Poland.
They have about seven candidates	Now it is their fellow Turks arriving as refugees from Bulgaria	Now it is.
It made my shoelaces dance with terror	This is the commercial version	This is.
American institutional investors have never had a large appetite for Japanese equities	Rents have soared along with house prices	Rents have.
Panda Motors is one such investment	Each company worries that the other is becoming too powerful and too vertically integrated	Each company worries.
Los Angeles will be the site of a new entertainment division for the ad agency	This has led them in a fruitless and destructive policy circle	This has led.
Merck is one of the most important stocks in the Major Market Index	The great silver clouds on the horizon build themselves on the pale water	The clouds build.
There will be recreation and movie rooms	The main argument for growth stocks is their usually superior performance in a slowing economy	The main argument for growth stocks is.
There is hope of change	Still the Salinger decision created a strong presumption against fair use of unpublished materials	Still.
Another poked a hole in the heel of his shoe	The spinoff should solve a problem for the parent	The spinoff should solve.
Last week the British displayed unusual political immaturity	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may encompass plans with Jaguar.
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	He softened the talk about a recession	He softened.
But weak car sales raise questions about future demand from the auto sector	Compound yields assume reinvestment of dividends and that current yields continue for a year	Compound yields assume and that current yields continue.
Futures prices showed modest changes in light trading volume	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy on pending takeovers.
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	Radio programs and books have followed the daily television show	Radio programs and books have followed.
Ashland expects that sale to be complete next year	The reporters were victims and some of the victims turned into unofficial reporters	The reporters were victims and victims turned into unofficial reporters.
The antibody then kills the cell	It adds something to the market	It adds.
The pilots argued that this triggered a pay raise for them	This creates several problems	This creates.
Continental Air replaced its top executive for the sixth time in as many years	The June killings magnified the problems	The June killings magnified.
