demon	d_label	test	start	end	prediction
Investors with a heavy tax load should take out their calculators	with a heavy tax load	Percentage differences based on daily sales rate rather than sales volume	3	30	a heavy tax load should take out their calculators[SEP]with a heavy tax load[SEP]Percentage differences based on daily sales rate rather than sales
Deutsche Bank has actively sought a French acquisition for at least two years	a French acquisition	Motorola is fighting back against junk mail	6	1	nan
But there is a grimly ironic twist to the Columbia loss	to the Columbia loss	Percentage differences based on daily sales rate rather than sales volume	3	28	a grimly ironic twist to the Columbia loss[SEP]to the Columbia loss[SEP]Percentage differences based on daily sales rate rather than sales
Uncertainty dogs every aspect of their lives	their lives	Percentage differences based on daily sales rate rather than sales volume	6	23	of their lives[SEP]their lives[SEP]Percentage differences based on daily sales rate rather than sales
Sierra Tucson operates an addiction treatment center	an addiction treatment center	The battle for customer loyalty is evident along the Cobb Parkway strip	22	24	the Cobb Parkway
Shares of the new partnership would trade on an exchange like a stock	like a stock	But some analysts remain sour on the company	24	25	the company
The issue has been simmering for years	for years	He again urged passage of a constitutional amendment outlawing abortion	16	16	of
It was all over the place	all over the place	The result is mistrust and criticism from all around	19	0	nan
Shares of three brokerage firms rose after they reported earnings	three brokerage firms	An official linked the gain essentially to higher prices for beef and pork	18	23	the gain essentially to higher prices
Wall Street traders on Friday had complained about the trading suspensions	the trading suspensions	He again urged passage of a constitutional amendment outlawing abortion	20	20	of
Some of these ideas are again under consideration in Congress	in Congress	There was tremendous public enthusiasm for stock mutual funds	1	22	of these ideas are again under consideration in Congress[SEP]in Congress[SEP]There was tremendous public enthusiasm for stock mutual funds
One bank stock was a winner	a winner	He softened the talk about a recession	15	16	a recession
Dan Rather served as emcee	as emcee	People have been very respectful of each other	18	18	of
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	health benefits	This phenomenon often makes stock prices swing wildly at the end of the trading session	31	31	of
But the apple industry is ripe for change	ripe for change	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	20	25	some poorly managed properties into bankruptcy
The final maturity is in five years	five years	The tribe is one of the poorest in the Pacific Northwest	15	20	of the poorest in the Pacific
But then they wake up to a nightmare	to a nightmare	He also mentioned increased capital investment by Pacific Bell for network improvements	6	23	a nightmare[SEP]to a nightmare[SEP]He also mentioned increased capital investment by Pacific Bell for network
The stakes in the controversy are large	in the controversy	Percentage differences based on daily sales rate rather than sales volume	3	22	the controversy are large[SEP]in the controversy[SEP]Percentage differences based on daily sales rate rather than sales
Housing has been weak all year and especially so in the past five months	in the past five months	He again urged passage of a constitutional amendment outlawing abortion	26	26	of
The biggest flurry of investor activity came early in the day	the day	Cost is a key consideration because of the global sweep of the financial markets	25	27	of the financial
Successful American business owners do the same thing	the same thing	This phenomenon often makes stock prices swing wildly at the end of the trading session	25	25	of
But then they wake up to a nightmare	a nightmare	Cost is a key consideration because of the global sweep of the financial markets	22	24	of the financial
Wall Street traders on Friday had complained about the trading suspensions	about the trading suspensions	The British economy is hardly the picture of health these days	24	24	of
The traffic jam out of the park was monumental	the park	The loss of more customers is the latest in a string of problems	24	24	of
