demon	d_label	test	start	end	prediction
Investors with a heavy tax load should take out their calculators	with a heavy tax load	Percentage differences based on daily sales rate rather than sales volume	28	31	rather than sales volume
Deutsche Bank has actively sought a French acquisition for at least two years	a French acquisition	Motorola is fighting back against junk mail	24	25	against junk
But there is a grimly ironic twist to the Columbia loss	to the Columbia loss	Percentage differences based on daily sales rate rather than sales volume	26	29	rather than sales volume
Uncertainty dogs every aspect of their lives	their lives	Percentage differences based on daily sales rate rather than sales volume	21	24	rather than sales volume
Sierra Tucson operates an addiction treatment center	an addiction treatment center	The battle for customer loyalty is evident along the Cobb Parkway strip	17	20	customer loyalty is evident
Shares of the new partnership would trade on an exchange like a stock	like a stock	But some analysts remain sour on the company	24	25	the company
The issue has been simmering for years	for years	He again urged passage of a constitutional amendment outlawing abortion	16	20	of a constitutional amendment outlaw
It was all over the place	all over the place	The result is mistrust and criticism from all around	19	20	all around
Shares of three brokerage firms rose after they reported earnings	three brokerage firms	An official linked the gain essentially to higher prices for beef and pork	20	23	essentially to higher prices
Wall Street traders on Friday had complained about the trading suspensions	the trading suspensions	He again urged passage of a constitutional amendment outlawing abortion	21	24	a constitutional amendment outlaw
Some of these ideas are again under consideration in Congress	in Congress	There was tremendous public enthusiasm for stock mutual funds	19	22	for stock mutual funds
One bank stock was a winner	a winner	He softened the talk about a recession	14	16	about a recession
Dan Rather served as emcee	as emcee	People have been very respectful of each other	16	19	very respectful of each
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	health benefits	This phenomenon often makes stock prices swing wildly at the end of the trading session	29	33	the end of the trading
But the apple industry is ripe for change	ripe for change	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	20	28	some poorly managed properties into bankruptcy or new ownership
The final maturity is in five years	five years	The tribe is one of the poorest in the Pacific Northwest	15	17	of the poorest
But then they wake up to a nightmare	to a nightmare	He also mentioned increased capital investment by Pacific Bell for network improvements	19	24	by Pacific Bell for network improvements
The stakes in the controversy are large	in the controversy	Percentage differences based on daily sales rate rather than sales volume	20	23	rather than sales volume
Housing has been weak all year and especially so in the past five months	in the past five months	He again urged passage of a constitutional amendment outlawing abortion	27	31	a constitutional amendment outlawing
The biggest flurry of investor activity came early in the day	the day	Cost is a key consideration because of the global sweep of the financial markets	21	28	of the global sweep of the financial markets
Successful American business owners do the same thing	the same thing	This phenomenon often makes stock prices swing wildly at the end of the trading session	23	28	the end of the trading session
But then they wake up to a nightmare	a nightmare	Cost is a key consideration because of the global sweep of the financial markets	18	25	of the global sweep of the financial markets
Wall Street traders on Friday had complained about the trading suspensions	about the trading suspensions	The British economy is hardly the picture of health these days	24	27	of health these days
The traffic jam out of the park was monumental	the park	The loss of more customers is the latest in a string of problems	15	17	of more customers
The market has grown relatively quiet since the China crisis	the China crisis	Cost is a key consideration because of the global sweep of the financial markets	21	28	of the global sweep of the financial markets
The traffic jam out of the park was monumental	the park	He again urged passage of a constitutional amendment outlawing abortion	17	21	of a constitutional amendment outlaw
One bank stock was a winner	a winner	The British economy is hardly the picture of health these days	15	20	the picture of health these days
But many of these stocks have now become expensive	these stocks	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	18	28	of constitutional meat between large loaves of bilious commentary
Cost is a key consideration because of the global sweep of the financial markets	the financial markets	He hit the lanes three years ago on the advice of his doctor	27	28	the advice
Some of these ideas are again under consideration in Congress	in Congress	He also mentioned increased capital investment by Pacific Bell for network improvements	20	25	by Pacific Bell for network improvements
Some of these ideas are again under consideration in Congress	these ideas	Reasons for the collapse of the Nimitz Freeway were sketchy yesterday	19	28	of the Nimitz Freeway were sketchy yesterday
It also adds to the mystery of the venture	of the venture	The traffic jam out of the park was monumental	18	20	of the park
The talks came as Lebanese negotiations on political changes appeared deadlocked	on political changes	Percentage differences based on daily sales rate rather than sales volume	25	28	rather than sales volume
There was tremendous public enthusiasm for stock mutual funds	stock mutual funds	The loss of more customers is the latest in a string of problems	16	18	of more customers
So the Federal Reserve is an attractive target for complaint by politicians	an attractive target for complaint by politicians	The result is mistrust and criticism from all around	28	29	all around
He also mentioned increased capital investment by Pacific Bell for network improvements	for network improvements	The traffic jam out of the park was monumental	21	23	of the park
The company reported good gains in all of its divisions	of its divisions	The traffic jam out of the park was monumental	19	21	of the park
And most of these are absolutely unnecessary	absolutely unnecessary	Some would make even James Bond green with envy	17	19	green with envy
There is a lot of waste	a lot of waste	The engine plant may encompass plans for a joint components venture with Jaguar	19	21	a joint components
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	to a surprising consensus	An official linked the gain essentially to higher prices for beef and pork	27	30	essentially to higher prices
Retailers could get a boost this year from the calendar	this year	The engine plant may encompass plans for a joint components venture with Jaguar	23	25	a joint components
The gap between winners and laggards will grow	winners and laggards	Evidence of the growing Japanese demand for mortgage securities abounds	20	26	the growing Japanese demand for mortgage securities
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	business and labor	His humility gives him a much better chance of success	26	28	much better chance
The position of chief operating officer is new	of chief operating officer	Percentage differences based on daily sales rate rather than sales volume	22	25	rather than sales volume
The Chicago exchanges also are working on such a device	on such a device	The estimate includes the results of new stores	21	23	of new stores
October is a critical month for the privatization program	for the privatization program	Uncertainty dogs every aspect of their lives	21	23	of their lives
Jeff Rowe contributed to this article	this article	He had been associate professor in the department of finance at Seton Hall University	13	19	associate professor in the department of finance
It was all over the place	all over the place	Poverty remains far more widespread among blacks than other Americans	18	19	among blacks
