demon	d_label	test	start	end	prediction
Investors with a heavy tax load should take out their calculators	with a heavy tax load	Percentage differences based on daily sales rate rather than sales volume	29	30	than sales
Deutsche Bank has actively sought a French acquisition for at least two years	a French acquisition	Motorola is fighting back against junk mail	23	23	back
But there is a grimly ironic twist to the Columbia loss	to the Columbia loss	Percentage differences based on daily sales rate rather than sales volume	27	28	than sales
Uncertainty dogs every aspect of their lives	their lives	Percentage differences based on daily sales rate rather than sales volume	17	23	on daily sales rate rather than sales
Sierra Tucson operates an addiction treatment center	an addiction treatment center	The battle for customer loyalty is evident along the Cobb Parkway strip	16	24	for customer loyalty is evident along the Cobb Parkway
Shares of the new partnership would trade on an exchange like a stock	like a stock	But some analysts remain sour on the company	23	25	on the company
The issue has been simmering for years	for years	He again urged passage of a constitutional amendment outlawing abortion	16	21	of a constitutional amendment outlawing
It was all over the place	all over the place	The result is mistrust and criticism from all around	20	20	around
Shares of three brokerage firms rose after they reported earnings	three brokerage firms	An official linked the gain essentially to higher prices for beef and pork	21	23	to higher prices
Wall Street traders on Friday had complained about the trading suspensions	the trading suspensions	He again urged passage of a constitutional amendment outlawing abortion	21	25	a constitutional amendment outlawing
Some of these ideas are again under consideration in Congress	in Congress	There was tremendous public enthusiasm for stock mutual funds	19	20	for stock
One bank stock was a winner	a winner	He softened the talk about a recession	15	16	a recession
Dan Rather served as emcee	as emcee	People have been very respectful of each other	16	20	very respectful of each other
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	health benefits	This phenomenon often makes stock prices swing wildly at the end of the trading session	32	33	the trading
But the apple industry is ripe for change	ripe for change	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	20	16	nan
The final maturity is in five years	five years	The tribe is one of the poorest in the Pacific Northwest	15	21	of the poorest in the Pacific Northwest
But then they wake up to a nightmare	to a nightmare	He also mentioned increased capital investment by Pacific Bell for network improvements	17	17	capital
The stakes in the controversy are large	in the controversy	Percentage differences based on daily sales rate rather than sales volume	16	22	on daily sales rate rather than sales
Housing has been weak all year and especially so in the past five months	in the past five months	He again urged passage of a constitutional amendment outlawing abortion	26	31	of a constitutional amendment outlawing
The biggest flurry of investor activity came early in the day	the day	Cost is a key consideration because of the global sweep of the financial markets	26	28	the financial markets
Successful American business owners do the same thing	the same thing	This phenomenon often makes stock prices swing wildly at the end of the trading session	23	27	the end of the trading
But then they wake up to a nightmare	a nightmare	Cost is a key consideration because of the global sweep of the financial markets	23	25	the financial markets
Wall Street traders on Friday had complained about the trading suspensions	about the trading suspensions	The British economy is hardly the picture of health these days	22	23	the picture
The traffic jam out of the park was monumental	the park	The loss of more customers is the latest in a string of problems	15	17	of more customers
The market has grown relatively quiet since the China crisis	the China crisis	Cost is a key consideration because of the global sweep of the financial markets	26	28	the financial markets
The traffic jam out of the park was monumental	the park	He again urged passage of a constitutional amendment outlawing abortion	18	22	a constitutional amendment outlawing
One bank stock was a winner	a winner	The British economy is hardly the picture of health these days	15	16	the picture
But many of these stocks have now become expensive	these stocks	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	16	24	his praise of constitutional meat between large loaves
Cost is a key consideration because of the global sweep of the financial markets	the financial markets	He hit the lanes three years ago on the advice of his doctor	27	31	the advice of his doctor
Some of these ideas are again under consideration in Congress	in Congress	He also mentioned increased capital investment by Pacific Bell for network improvements	19	18	nan
Some of these ideas are again under consideration in Congress	these ideas	Reasons for the collapse of the Nimitz Freeway were sketchy yesterday	16	26	for the collapse of the Nimitz Freeway were sketch
It also adds to the mystery of the venture	of the venture	The traffic jam out of the park was monumental	19	20	the park
The talks came as Lebanese negotiations on political changes appeared deadlocked	on political changes	Percentage differences based on daily sales rate rather than sales volume	21	27	on daily sales rate rather than sales
There was tremendous public enthusiasm for stock mutual funds	stock mutual funds	The loss of more customers is the latest in a string of problems	23	24	a string
So the Federal Reserve is an attractive target for complaint by politicians	an attractive target for complaint by politicians	The result is mistrust and criticism from all around	29	29	around
He also mentioned increased capital investment by Pacific Bell for network improvements	for network improvements	The traffic jam out of the park was monumental	21	23	of the park
The company reported good gains in all of its divisions	of its divisions	The traffic jam out of the park was monumental	19	21	of the park
And most of these are absolutely unnecessary	absolutely unnecessary	Some would make even James Bond green with envy	18	17	nan
There is a lot of waste	a lot of waste	The engine plant may encompass plans for a joint components venture with Jaguar	18	22	for a joint components venture
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	to a surprising consensus	An official linked the gain essentially to higher prices for beef and pork	31	33	for beef and
Retailers could get a boost this year from the calendar	this year	The engine plant may encompass plans for a joint components venture with Jaguar	22	26	for a joint components venture
The gap between winners and laggards will grow	winners and laggards	Evidence of the growing Japanese demand for mortgage securities abounds	24	26	for mortgage securities
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	business and labor	His humility gives him a much better chance of success	29	28	nan
The position of chief operating officer is new	of chief operating officer	Percentage differences based on daily sales rate rather than sales volume	18	24	on daily sales rate rather than sales
The Chicago exchanges also are working on such a device	on such a device	The estimate includes the results of new stores	21	23	of new stores
October is a critical month for the privatization program	for the privatization program	Uncertainty dogs every aspect of their lives	22	20	nan
Jeff Rowe contributed to this article	this article	He had been associate professor in the department of finance at Seton Hall University	15	23	in the department of finance at Seton Hall
It was all over the place	all over the place	Poverty remains far more widespread among blacks than other Americans	15	21	far more widespread among blacks than other
Other gainers were companies with one or more undamaged California refineries	one or more undamaged California refineries	He had been associate professor in the department of finance at Seton Hall University	31	33	in the department
The great silver clouds on the horizon build themselves on the pale water	the horizon	Cost is a key consideration because of the global sweep of the financial markets	28	30	the financial markets
Fog shrouded the base before touchdown	before touchdown	Magazine publishers are facing spiraling costs and a glut of new titles	19	23	a glut of new titles
This phenomenon often makes stock prices swing wildly at the end of the trading session	at the end of the trading session	It recently introduced a line for the home market	29	28	nan
Giant has interests in cement making and newsprint	cement making and newsprint	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	30	20	nan
But the apple industry is ripe for change	ripe for change	His humility gives him a much better chance of success	18	21	a much better chance
The latest rebate is good for all Beretta models	all Beretta models	The peril of unlimited liability looms large for a number of them now	23	25	for a number
Not everyone is so pessimistic	so pessimistic	But there is a grimly ironic twist to the Columbia loss	12	16	a grimly ironic twist
