demon	d_label	test	start	end	prediction
Investors with a heavy tax load should take out their calculators	with a heavy tax load	Percentage differences based on daily sales rate rather than sales volume	24	0	nan
Deutsche Bank has actively sought a French acquisition for at least two years	a French acquisition	Motorola is fighting back against junk mail	24	19	nan
But there is a grimly ironic twist to the Columbia loss	to the Columbia loss	Percentage differences based on daily sales rate rather than sales volume	22	18	nan
Uncertainty dogs every aspect of their lives	their lives	Percentage differences based on daily sales rate rather than sales volume	17	13	nan
Sierra Tucson operates an addiction treatment center	an addiction treatment center	The battle for customer loyalty is evident along the Cobb Parkway strip	16	18	for customer loyalty
Shares of the new partnership would trade on an exchange like a stock	like a stock	But some analysts remain sour on the company	23	4	nan
The issue has been simmering for years	for years	He again urged passage of a constitutional amendment outlawing abortion	16	20	of a constitutional amendment outlaw
It was all over the place	all over the place	The result is mistrust and criticism from all around	16	15	nan
Shares of three brokerage firms rose after they reported earnings	three brokerage firms	An official linked the gain essentially to higher prices for beef and pork	21	0	nan
Wall Street traders on Friday had complained about the trading suspensions	the trading suspensions	He again urged passage of a constitutional amendment outlawing abortion	20	24	of a constitutional amendment outlaw
Some of these ideas are again under consideration in Congress	in Congress	There was tremendous public enthusiasm for stock mutual funds	19	18	nan
One bank stock was a winner	a winner	He softened the talk about a recession	14	16	about a recession
Dan Rather served as emcee	as emcee	People have been very respectful of each other	18	0	nan
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	health benefits	This phenomenon often makes stock prices swing wildly at the end of the trading session	28	34	at the end of the trading session
But the apple industry is ripe for change	ripe for change	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	24	15	nan
The final maturity is in five years	five years	The tribe is one of the poorest in the Pacific Northwest	18	21	in the Pacific Northwest
But then they wake up to a nightmare	to a nightmare	He also mentioned increased capital investment by Pacific Bell for network improvements	19	18	nan
The stakes in the controversy are large	in the controversy	Percentage differences based on daily sales rate rather than sales volume	16	12	nan
Housing has been weak all year and especially so in the past five months	in the past five months	He again urged passage of a constitutional amendment outlawing abortion	26	30	of a constitutional amendment outlaw
The biggest flurry of investor activity came early in the day	the day	Cost is a key consideration because of the global sweep of the financial markets	21	2	nan
Successful American business owners do the same thing	the same thing	This phenomenon often makes stock prices swing wildly at the end of the trading session	22	28	at the end of the trading session
But then they wake up to a nightmare	a nightmare	Cost is a key consideration because of the global sweep of the financial markets	18	25	of the global sweep of the financial markets
Wall Street traders on Friday had complained about the trading suspensions	about the trading suspensions	The British economy is hardly the picture of health these days	24	2	nan
The traffic jam out of the park was monumental	the park	The loss of more customers is the latest in a string of problems	21	21	in
The market has grown relatively quiet since the China crisis	the China crisis	Cost is a key consideration because of the global sweep of the financial markets	21	28	of the global sweep of the financial markets
The traffic jam out of the park was monumental	the park	He again urged passage of a constitutional amendment outlawing abortion	17	21	of a constitutional amendment outlaw
One bank stock was a winner	a winner	The British economy is hardly the picture of health these days	17	0	nan
But many of these stocks have now become expensive	these stocks	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	18	28	of constitutional meat between large loaves of bilious commentary
Cost is a key consideration because of the global sweep of the financial markets	the financial markets	He hit the lanes three years ago on the advice of his doctor	26	28	on the advice
Some of these ideas are again under consideration in Congress	in Congress	He also mentioned increased capital investment by Pacific Bell for network improvements	20	19	nan
