demon	d_label	test	start	end	prediction
Investors with a heavy tax load should take out their calculators	with a heavy tax load	Percentage differences based on daily sales rate rather than sales volume	24	30	on daily sales rate rather than sales
Deutsche Bank has actively sought a French acquisition for at least two years	a French acquisition	Motorola is fighting back against junk mail	19	26	Motorola is fighting back against junk mail
But there is a grimly ironic twist to the Columbia loss	to the Columbia loss	Percentage differences based on daily sales rate rather than sales volume	22	28	on daily sales rate rather than sales
Uncertainty dogs every aspect of their lives	their lives	Percentage differences based on daily sales rate rather than sales volume	17	23	on daily sales rate rather than sales
Sierra Tucson operates an addiction treatment center	an addiction treatment center	The battle for customer loyalty is evident along the Cobb Parkway strip	16	24	for customer loyalty is evident along the Cobb Parkway
Shares of the new partnership would trade on an exchange like a stock	like a stock	But some analysts remain sour on the company	19	25	some analysts remain sour on the company
The issue has been simmering for years	for years	He again urged passage of a constitutional amendment outlawing abortion	17	20	a constitutional amendment outlaw
It was all over the place	all over the place	The result is mistrust and criticism from all around	16	20	and criticism from all around
Shares of three brokerage firms rose after they reported earnings	three brokerage firms	An official linked the gain essentially to higher prices for beef and pork	16	27	official linked the gain essentially to higher prices for beef and pork
Wall Street traders on Friday had complained about the trading suspensions	the trading suspensions	He again urged passage of a constitutional amendment outlawing abortion	20	22	of a constitutional
Some of these ideas are again under consideration in Congress	in Congress	There was tremendous public enthusiasm for stock mutual funds	15	22	was tremendous public enthusiasm for stock mutual funds
One bank stock was a winner	a winner	He softened the talk about a recession	15	16	a recession
Dan Rather served as emcee	as emcee	People have been very respectful of each other	18	17	nan
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	health benefits	This phenomenon often makes stock prices swing wildly at the end of the trading session	22	33	often makes stock prices swing wildly at the end of the trading
But the apple industry is ripe for change	ripe for change	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	17	25	probably will drive some poorly managed properties into bankruptcy
The final maturity is in five years	five years	The tribe is one of the poorest in the Pacific Northwest	14	20	one of the poorest in the Pacific
But then they wake up to a nightmare	to a nightmare	He also mentioned increased capital investment by Pacific Bell for network improvements	14	24	also mentioned increased capital investment by Pacific Bell for network improvements
The stakes in the controversy are large	in the controversy	Percentage differences based on daily sales rate rather than sales volume	13	22	age differences based on daily sales rate rather than sales
Housing has been weak all year and especially so in the past five months	in the past five months	He again urged passage of a constitutional amendment outlawing abortion	26	28	of a constitutional
The biggest flurry of investor activity came early in the day	the day	Cost is a key consideration because of the global sweep of the financial markets	17	28	a key consideration because of the global sweep of the financial markets
Successful American business owners do the same thing	the same thing	This phenomenon often makes stock prices swing wildly at the end of the trading session	16	27	often makes stock prices swing wildly at the end of the trading
But then they wake up to a nightmare	a nightmare	Cost is a key consideration because of the global sweep of the financial markets	14	25	a key consideration because of the global sweep of the financial markets
Wall Street traders on Friday had complained about the trading suspensions	about the trading suspensions	The British economy is hardly the picture of health these days	18	25	British economy is hardly the picture of health
The traffic jam out of the park was monumental	the park	The loss of more customers is the latest in a string of problems	15	25	of more customers is the latest in a string of problems
The market has grown relatively quiet since the China crisis	the China crisis	Cost is a key consideration because of the global sweep of the financial markets	17	27	a key consideration because of the global sweep of the financial
The traffic jam out of the park was monumental	the park	He again urged passage of a constitutional amendment outlawing abortion	17	23	of a constitutional amendment outlawing abortion
One bank stock was a winner	a winner	The British economy is hardly the picture of health these days	11	18	British economy is hardly the picture of health
But many of these stocks have now become expensive	these stocks	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	18	26	of constitutional meat between large loaves of bil
Cost is a key consideration because of the global sweep of the financial markets	the financial markets	He hit the lanes three years ago on the advice of his doctor	23	30	three years ago on the advice of his
Some of these ideas are again under consideration in Congress	in Congress	He also mentioned increased capital investment by Pacific Bell for network improvements	15	25	also mentioned increased capital investment by Pacific Bell for network improvements
Some of these ideas are again under consideration in Congress	these ideas	Reasons for the collapse of the Nimitz Freeway were sketchy yesterday	19	26	of the Nimitz Freeway were sketch
It also adds to the mystery of the venture	of the venture	The traffic jam out of the park was monumental	18	22	of the park was monumental
The talks came as Lebanese negotiations on political changes appeared deadlocked	on political changes	Percentage differences based on daily sales rate rather than sales volume	18	27	age differences based on daily sales rate rather than sales
There was tremendous public enthusiasm for stock mutual funds	stock mutual funds	The loss of more customers is the latest in a string of problems	16	26	of more customers is the latest in a string of problems
So the Federal Reserve is an attractive target for complaint by politicians	an attractive target for complaint by politicians	The result is mistrust and criticism from all around	25	29	and criticism from all around
He also mentioned increased capital investment by Pacific Bell for network improvements	for network improvements	The traffic jam out of the park was monumental	21	25	of the park was monumental
The company reported good gains in all of its divisions	of its divisions	The traffic jam out of the park was monumental	19	23	of the park was monumental
And most of these are absolutely unnecessary	absolutely unnecessary	Some would make even James Bond green with envy	18	19	with envy
There is a lot of waste	a lot of waste	The engine plant may encompass plans for a joint components venture with Jaguar	23	22	nan
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	to a surprising consensus	An official linked the gain essentially to higher prices for beef and pork	23	30	official linked the gain essentially to higher prices
Retailers could get a boost this year from the calendar	this year	The engine plant may encompass plans for a joint components venture with Jaguar	27	26	nan
The gap between winners and laggards will grow	winners and laggards	Evidence of the growing Japanese demand for mortgage securities abounds	19	26	of the growing Japanese demand for mortgage securities
The pocketbook impact of health benefits has driven business and labor to a surprising consensus	business and labor	His humility gives him a much better chance of success	25	28	a much better chance
The position of chief operating officer is new	of chief operating officer	Percentage differences based on daily sales rate rather than sales volume	15	24	age differences based on daily sales rate rather than sales
The Chicago exchanges also are working on such a device	on such a device	The estimate includes the results of new stores	21	23	of new stores
October is a critical month for the privatization program	for the privatization program	Uncertainty dogs every aspect of their lives	15	23	Uncertainty dogs every aspect of their lives
Jeff Rowe contributed to this article	this article	He had been associate professor in the department of finance at Seton Hall University	11	23	had been associate professor in the department of finance at Seton Hall
It was all over the place	all over the place	Poverty remains far more widespread among blacks than other Americans	15	22	far more widespread among blacks than other Americans
Other gainers were companies with one or more undamaged California refineries	one or more undamaged California refineries	He had been associate professor in the department of finance at Seton Hall University	27	39	had been associate professor in the department of finance at Seton Hall
The great silver clouds on the horizon build themselves on the pale water	the horizon	Cost is a key consideration because of the global sweep of the financial markets	19	29	a key consideration because of the global sweep of the financial
Fog shrouded the base before touchdown	before touchdown	Magazine publishers are facing spiraling costs and a glut of new titles	19	23	a glut of new titles
This phenomenon often makes stock prices swing wildly at the end of the trading session	at the end of the trading session	It recently introduced a line for the home market	27	32	a line for the home market
Giant has interests in cement making and newsprint	cement making and newsprint	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	21	29	probably will drive some poorly managed properties into bankruptcy
But the apple industry is ripe for change	ripe for change	His humility gives him a much better chance of success	18	21	a much better chance
The latest rebate is good for all Beretta models	all Beretta models	The peril of unlimited liability looms large for a number of them now	18	27	of unlimited liability looms large for a number of them
Not everyone is so pessimistic	so pessimistic	But there is a grimly ironic twist to the Columbia loss	12	19	a grimly ironic twist to the Columbia
He will continue as a director	as a director	The engine plant may encompass plans for a joint components venture with Jaguar	22	23	with Jaguar
Recent data from New York City provide more of the picture	more of the picture	She analyzed families by their sleeping arrangements	20	23	by their sleeping arrangements
In most cases damage to company facilities and operations was minimal	most cases	Reasons for the collapse of the Nimitz Freeway were sketchy yesterday	20	27	of the Nimitz Freeway were sketch
His hands sit farther apart on the keyboard	the keyboard	Soaring rights fees will lead to an even greater clutter of commercials	14	24	rights fees will lead to an even greater clutter of commercials
The Ways and Means Committee will hold a hearing on the bill next Tuesday	next Tuesday	The market has grown relatively quiet since the China crisis	19	27	market has grown relatively quiet since the China crisis
Breeders are betting on the common folk	on the common folk	Recent data from New York City provide more of the picture	18	20	New York City
The states have their own ideas about regulation and certification	their own ideas about regulation and certification	That would leave Hun Sen and the Khmer Rouge	20	28	would leave Hun Sen and the Khmer Rouge
The excess supply pushed gasoline prices down in that period	gasoline prices	Craig Forman in London contributed to this article	18	23	in London contributed to this article
She had an idea	an idea	But there is a grimly ironic twist to the Columbia loss	11	18	a grimly ironic twist to the Columbia
Shares of the new partnership would trade on an exchange like a stock	on an exchange	Compound yields assume reinvestment of dividends and that current yields continue for a year	24	32	of dividends and that current yields continue for a
And perhaps with good reason	good reason	Giant has interests in cement making and newsprint	2	18	with good reason[SEP]good reason[SEP]Giant has interests in cement making and newsprint
And taxpayer groups are urging legislation in many other states	many other states	This phenomenon often makes stock prices swing wildly at the end of the trading session	17	28	often makes stock prices swing wildly at the end of the trading
Nashua announced the Reiss request after the market closed	the Reiss request	Delayed financings also would affect the operations of many companies	29	30	many companies
He can live with little pleasures	with little pleasures	Some economists expect further declines in investment spending	13	17	expect further declines in investment
Speculation about a takeover fight has sent Jaguar shares soaring in the past six weeks	a takeover fight	The selling by money managers and individual investors is turning traders bearish as well	23	34	by money managers and individual investors is turning traders bearish as
Preparedness involves more than flashlights and fire alarms these days	flashlights and fire alarms	Cost is a key consideration because of the global sweep of the financial markets	22	32	a key consideration because of the global sweep of the financial
People have been very respectful of each other	very respectful of each other	His humility gives him a much better chance of success	19	22	a much better chance
The company reported good gains in all of its divisions	all of its divisions	The peril of unlimited liability looms large for a number of them now	18	27	of unlimited liability looms large for a number of them
But the device obscures more than it illuminates	more than it illuminates	These are curious times in South African politics	21	26	curious times in South African politics
Magazine publishers are facing spiraling costs and a glut of new titles	of new titles	Percentage differences based on daily sales rate rather than sales volume	22	28	on daily sales rate rather than sales
Other manufacturers are equally cautious	equally cautious	These are curious times in South African politics	12	17	curious times in South African politics
Shares of the new partnership would trade on an exchange like a stock	of the new partnership	Percentage differences based on daily sales rate rather than sales volume	23	29	on daily sales rate rather than sales
He also leads an opulent life style	an opulent life style	The states have their own ideas about regulation and certification	17	22	have their own ideas about regulation
It also adds to the mystery of the venture	of the venture	Percentage differences based on daily sales rate rather than sales volume	15	24	age differences based on daily sales rate rather than sales
Jeff Rowe contributed to this article	this article	The board will be made up of seven directors of each holding company	16	21	of seven directors of each holding
The trial begins today in federal court in Philadelphia	in Philadelphia	Giant has interests in cement making and newsprint	13	22	Giant has interests in cement making and newsprint
Blue chips led the march up in heavy trading	the march up	Some economists expect further declines in investment spending	16	21	expect further declines in investment spending
The companies reached an agreement in principle for the sale in August	in August	He again urged passage of a constitutional amendment outlawing abortion	20	22	of a constitutional
Market conditions point to even lower prices next year	to even lower prices next year	Compound yields assume reinvestment of dividends and that current yields continue for a year	23	31	of dividends and that current yields continue for a
Bond prices were barely higher	barely higher	Market conditions point to even lower prices next year	15	17	even lower prices
His hands sit farther apart on the keyboard	on the keyboard	It recently introduced a line for the home market	16	21	a line for the home market
