demonstration	test_sentence	response
Repeat customers also can purchase luxury items at reduced prices	Colgate sold its hospital supply and home health care business last year	colgate sold its business last year
Drug companies lost a major liability case	He hit the lanes three years ago on the advice of his doctor	he hit the lanes three years ago
He hit the lanes three years ago on the advice of his doctor	The tape was on tv before the night was out	the tape was on before the night was out
The closely watched funds rate is what banks charge each other on overnight loans	Confectionery products sales also had strong growth in the quarter	fail to follow
The team then proposed modifications in their work process to management	Traders can vary their strategies and execute their orders in any one of them	traders can vary their strategies and execute in any one of them
These big stocks greatly influence the Nasdaq Composite Index	One apparent side effect is a minor increase in a brain hormone	one apparent side effect is a minor increase
East Bloc pollution data typically have been state secrets	Her story is becoming part of local folklore	fail to follow
That means huge travel bills	These revised figures also may explain some of the recent strength of the dollar	these revised figures also may explain
Now it is their fellow Turks arriving as refugees from Bulgaria	He is negotiating a rich book contract to boot	he is negotiating
Opponents show that there are already more funds available than commendable reform efforts	This has led them in a fruitless and destructive policy circle	this has led them in a fruitless and destructive
Ashland had a loss	Japan is not a political country	japan is not a political
These big stocks greatly influence the Nasdaq Composite Index	The current ruble rate has long been out of line with the black market	the current ruble rate has long been out of line
Housing has been weak all year and especially so in the past five months	Labor problems top the list	fail to follow
They looked at the miniature and saw a giant folly	Prospective competition is one problem	prospective competition is one
The legal fight was the subject of a Wall Street Journal story yesterday	Now it is their fellow Turks arriving as refugees from Bulgaria	now it is their fellow turks arriving
Size and weight considerations also have limited screen displays	It was the smallest monthly increase in a year	it was the smallest monthly increase
Repeat customers also can purchase luxury items at reduced prices	This is football country	this is country
Drug companies lost a major liability case	Nobody has any credible estimate	fail to follow
East Bloc pollution data typically have been state secrets	a nun raising some lovable orphans	fail to follow
Drug companies lost a major liability case	Other temperature data show similar unexplained swings	other temperature data show similar swings
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Some nights he slept under his desk	some nights he slept
The team then proposed modifications in their work process to management	Employees wore identification badges listing not only their names but also their dates of hire	employees wore identification badges listing their dates of hire
They looked at the miniature and saw a giant folly	Defaults on Veterans Affairs loan guarantees have quadrupled in the past eight years	defaults on veterans affairs loan guarantees have quadrupled
It is hoped that other Japanese would then follow the leader	But even a little appeal has a lot of attraction these days	fail to follow
