demonstration	test_sentence	response
These revised figures also may explain some of the recent strength of the dollar	Big financial stocks carried the day	big financial stocks carried
Repeat customers also can purchase luxury items at reduced prices	Flesh goes to total alert for flight or fight	total alert for flight or fight
The company earns about half its revenue overseas and plans further expansion	The problem is not that the Fed is too unresponsive to the public interest	the problem is not that the fed is unresponsive to the public interest
The key here is the ambition of state Attorney General John Van de Kamp	These are real costs	real costs
That means huge travel bills	This starts in the construction phase through the use of minority contractors and local workers	this starts in the construction phase
The dispute was the subject of a Wall Street Journal article in August	We cruise toward another set of pilings	we cruise toward
Their verdict on real estate is almost the same	Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	fail to follow
Ashland had a loss	The tribe is one of the poorest in the Pacific Northwest	the tribe is one of the poorest
Housing has been weak all year and especially so in the past five months	First Interstate made the move under pressure from regulators	fail to follow
Simpson is an auto parts maker	It seeks unspecified money damages	it seeks
Most analysts had expected a sharper decline after the steep rise in August	He was back in jail over the summer on shoplifting charges	he was back in jail over the summer
It was the highest bid in history for a work of art	The states have their own ideas about regulation and certification	the states have
The engine plant may encompass plans for a joint components venture with Jaguar	The Environmental Protection Agency is getting a lot out of the Superfund program	the environmental protection agency is getting a lot out of
Size and weight considerations also have limited screen displays	The appeals court disagreed on both counts	the appeals court disagreed
It arrived just as the regulator handling such operations was retiring	The antibody then kills the cell	fail to follow
These big stocks greatly influence the Nasdaq Composite Index	He expected as much	he expected
Simpson is an auto parts maker	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	the finance unit attributed
The company earns about half its revenue overseas and plans further expansion	It added that no discussions about such a sale are under way	it added that no discussions about a sale are under way
Now it is their fellow Turks arriving as refugees from Bulgaria	The board will be made up of seven directors of each holding company	the board will be made up of seven
The company reported good gains in all of its divisions	This phenomenon often makes stock prices swing wildly at the end of the trading session	this phenomenon often makes
The company rejected those past proposals	Peter Gumbel in Moscow contributed to this article	peter gumbel contributed
That means huge travel bills	The report suggested that current review programs are too narrow	the report suggested
Repeat customers also can purchase luxury items at reduced prices	Japanese government bonds showed little change	government bonds showed little change
The team then proposed modifications in their work process to management	He does this in at least three of his solo pieces	he does this in three of his solo pieces
