demonstration	test_sentence	response
The team then proposed modifications in their work process to management	An official linked the gain essentially to higher prices for beef and pork	an official linked the gain to higher prices for beef and pork
Some industry groups consistently weather the storm better than others	The closely watched funds rate is what banks charge each other on overnight loans	fail to follow
But weak car sales raise questions about future demand from the auto sector	The problem here is not in the concept but in its lack of discrimination	the problem here is not in the concept
The engine plant may encompass plans for a joint components venture with Jaguar	The project has been in and out of the pipeline for more than a decade	the project has been in and out of the pipeline
Some industry groups consistently weather the storm better than others	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	fail to follow
The company rejected those past proposals	Delayed financings also would affect the operations of many companies	delayed financings
Now it is their fellow Turks arriving as refugees from Bulgaria	Los Angeles will be the site of a new entertainment division for the ad agency	la new entertainment division ad agency
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Announced and anticipated purchases from foreign countries are also supporting futures prices	announced and anticipated purchases from foreign countries are also supporting
Housing has been weak all year and especially so in the past five months	Fear is the father of panic	fail to follow
The report of the bankruptcy filing stunned Hollywood executives and investors	The British conglomerate cited the recent turmoil in financial markets	the british conglomerate cited the recent turmoil
The engine plant may encompass plans for a joint components venture with Jaguar	Japanese companies have a caveat competitor attitude	japanese companies have a caveat attitude
Civil suits against planners by clients seeking recovery of funds are increasingly common	The dispute was the subject of a Wall Street Journal article in August	fail to follow
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	One of the two British companies still making hard toilet paper stopped production of it	one of the two british companies still making hard toilet paper stopped production
He expects Citicorp to take a similar step this year	The suit seeks unspecified damages	the suit seeks damages
The company earns about half its revenue overseas and plans further expansion	But sophistication has its limits	sophistication has limits
It arrived just as the regulator handling such operations was retiring	Magazine publishers are facing spiraling costs and a glut of new titles	magazine publishers facing spiraling costs and glut of new titles
The mining zone has thus remained one of the most desolate places in Africa	There was tremendous public enthusiasm for stock mutual funds	there was tremendous public enthusiasm
The mining zone has thus remained one of the most desolate places in Africa	The post had been vacant for more than a year	the post had been vacant
He hit the lanes three years ago on the advice of his doctor	Frequent trading runs up high commission costs	trading runs up high commission costs
The company earns about half its revenue overseas and plans further expansion	Risk is also a function of time	fail to follow
Other network applications have very different goals	The tribe is one of the poorest in the Pacific Northwest	the tribe is
The two are also signing a trade agreement	This bias is in no way deliberate	this bias is in no way
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Japanese government bonds ended lower after the dollar rose modestly against the yen	japanese government bonds ended lower
The company rejected those past proposals	Still the Salinger decision created a strong presumption against fair use of unpublished materials	still the salinger decision created
