demonstration	test_sentence	response
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Hostile takeovers are quite a new phenomenon	hostile takeovers are quite new
Housing has been weak all year and especially so in the past five months	It should be a scream	fail to follow
He had been associate professor in the department of finance at Seton Hall University	Prospective competition is one problem	fail to follow
The report of the bankruptcy filing stunned Hollywood executives and investors	It also asked Mesa to keep the proposal confidential	fail to follow
Recruiter Donald Clark does note an increase in searches for minority candidates	Help may be on the way	fail to follow
These revised figures also may explain some of the recent strength of the dollar	Kidder officials stand by their aggressive use of program trading	kidder officials stand by
The company earns about half its revenue overseas and plans further expansion	The loss of more customers is the latest in a string of problems	the loss of customers is the latest problem
You already know the answer	And they are a very odd team in any case	theyre odd
It also licenses optically based data storage and retrieval devices	Compound yields assume reinvestment of dividends and that current yields continue for a year	compound yields assume
Developers are also eyeing the real estate portfolios of major corporations	Other gainers were companies with one or more undamaged California refineries	other gainers were companies
Only now is it undergoing a badly needed facelift	Only a few books fell in the reading room	only a few books fell
Analysts had mixed responses to the results	The pilots argued that this triggered a pay raise for them	the pilots argued
These big stocks greatly influence the Nasdaq Composite Index	Each has an equal vote at the monthly meetings	each has an equal vote
The dispute was the subject of a Wall Street Journal article in August	The two sides also traded accusations about the cost of the Packwood plan	the two sides also traded accusations
Housing has been weak all year and especially so in the past five months	The result is that the unthinkable and illogical are happening	fail to follow
Connaught is a biotechnology research and vaccine manufacturing concern	There is no rational justification for such behavior	there is no
Ashland had a loss	The trend is making advocates of the tax cut less optimistic about success	the trend is making advocates of the tax cut less optimistic
Drug companies lost a major liability case	Connaught is a biotechnology research and vaccine manufacturing concern	fail to follow
Only now is it undergoing a badly needed facelift	The appointments are part of a planned succession at the company	the appointments are part of a planned succession
Never once did she gasp for air or mop her brow	But such a combination also presents great risks	but such a combination also presents risks
Most earn high ratings from credit agencies	But the Rockefeller investment is its largest	but the rockefeller investment
You built your career on prejudice and hate	Florida National said yesterday that it remains committed to the merger	florida national remains committed to the merger
Drug companies lost a major liability case	The uncertainty is sending shivers through Brazilian financial markets	fail to follow
You already know the answer	Both companies will replace the oil filler cap with a ventilated oil filler cap	both companies will replace the oil filler cap
