demonstration	test_sentence	response
The dispute was the subject of a Wall Street Journal article in August	Loyalty lags most for utilitarian products like trash bags and batteries	loyalty lags
The mining zone has thus remained one of the most desolate places in Africa	The dispute was the subject of a Wall Street Journal article in August	the dispute was the subject of a wall street journal article
Waxman sells a variety of hardware products for the home repair market	He cut her hair	he cut
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Analysts had mixed responses to the results	analysts had mixed responses
The dispute was the subject of a Wall Street Journal article in August	The Journal also will offer expanded volume and frequency discounts	the journal also will offer
The two are also signing a trade agreement	An analyst cited weaker capital spending and exports	fail to follow
But weak car sales raise questions about future demand from the auto sector	Some business analysts blame the problem on tough competition in the insurance market	some business analysts blame the problem on tough competition
These revised figures also may explain some of the recent strength of the dollar	Reynolds is the third big aluminum company since Friday to report disappointing earnings	reynolds is the third big aluminum company since friday to report
The company earns about half its revenue overseas and plans further expansion	And many have done just that	many have done just that
The two are also signing a trade agreement	The merger is subject to regulatory clearance and a definitive agreement	the merger is subject to regulatory clearance
The company earns about half its revenue overseas and plans further expansion	Such animosity could prove pivotal in the union vote	animosity could prove pivotal in the union vote
These revised figures also may explain some of the recent strength of the dollar	That brought a chain reaction in the industry	that brought a chain reaction
Other network applications have very different goals	Baker had lots of them	baker had
Now it is their fellow Turks arriving as refugees from Bulgaria	Americans may not be so lucky the next time	not lucky next time
Civil suits against planners by clients seeking recovery of funds are increasingly common	Eventually viewers may grow bored with the technology and resent the cost	eventually viewers may grow bored with the technology and resent
Miss Brady is deputy director of the Russian Research Foundation in London	Peter Gumbel in Moscow contributed to this article	peter gumbel contributed
The company rejected those past proposals	They speak volumes about the state of our society at a given moment	they speak volumes
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The report of the bankruptcy filing stunned Hollywood executives and investors	fail to follow
It is hoped that other Japanese would then follow the leader	The majority of the bikes never even make it into the high country	the majority of the bikes never even make it
He had been associate professor in the department of finance at Seton Hall University	Judges will write the real bill as suits roll through the courts	judges will write the bill
He expects Citicorp to take a similar step this year	This is an index fund with a bet	this is an index fund
The mining zone has thus remained one of the most desolate places in Africa	The loss of more customers is the latest in a string of problems	the loss of more customers is the latest
Ashland had a loss	But there were no buyers	but there were
Both the Peasants and Rural Solidarity are forming new political parties for farmers	The company just went public earlier this month	the company just went public
