demon	d_label	test	start	end	prediction
其实穷也是一种幸福	一种幸福	送礼也是个技术活	22	23	技术
我们公司在搞什么二十周年庆	什么二十周年庆	燃料电池的项目最近没有什么进展	35	36	什么
我一直放低自己的底线	自己的底线	那个超声喷雾做的是球形的	19	26	那个超声喷雾做的
这就是贫富差距的显现	贫富差距	看样子这个年龄的男人很危险	29	30	危险
其实穷也是一种幸福	一种幸福	我还有点佩服你师傅这样的人	26	25	nan
我下个月去买车	下个月	我觉得他那个驾校也有问题	18	19	那个
你叫什么名字	什么名字	我四点从单位直接出发	15	19	四点从单位
你问问销售的价格	销售的价格	我在高铁上了	18	21	在高铁上
我这次给了名字的	这次	我对她高中都没什么印象	15	22	对她高中都没什么
你想多少人	多少人	这个是什么意思	15	16	什么
节奏可能跟外企的差不多	外企的	你在那公司里做过吧	20	20	那
你问问销售的价格	销售的价格	我觉得他那个驾校也有问题	21	22	那个
社会主义不止一条路	一条路	我知道那个地方	19	20	那个
男人不差在别的地方	别的地方	我跟我同事一起弄她的店	18	25	跟我同事一起弄她
你还参加过这种阿	这种	所以我才有其他想法	19	20	其他
你要找天线供应商	天线供应商	那你在群里说说	17	19	那你在
我也正在物色这方面的人才	这方面	我以前唱烛光里的妈妈	20	26	以前唱烛光里的
半个月前我姨夫出车祸过世了	半个月	那在这个方面上我们能达成共识	20	23	那在这个
这就是贫富差距的显现	贫富差距	我以前唱烛光里的妈妈	24	25	里的
你在哪个医院	哪个医院	他们报了什么兴趣班	18	19	什么
我有个重要问题那里有没有厕所	个重要问题	我们公司在搞什么二十周年庆	29	35	什么二十周年庆
一个人也够无聊的	一个	我昨天走了一个半小时	15	20	昨天走了一个
那你喜欢什么样的	什么样的	这个得往单位发	16	21	这个得往单位
土地基金增强特区财政储备	特区财政储备	我们每个人买了一个新秀丽的箱子	24	32	每个人买了一个新秀
我准备了好长时间嗯	好长	常规的一些团都会去	18	17	nan
我一直但是这个事情	这个事情	我们公司在搞什么二十周年庆	23	24	什么
你可以查查你们那边的	你们那边的	这个领导可能有领导的想法吧	22	26	导可能有领
这恰恰说明了应试教育的好处	应试教育的好处	那你在群里说说	24	25	那你
半个月前我姨夫出车祸过世了	半个月	你在那公司里做过吧	22	20	nan
我明天有健步走活动	健步走活动	你该找个妹子了	22	23	妹子
利民经常干这种事情的	这种事情	我一直放低自己的底线	19	24	一直放低自己
原来账户的钱不够了	原来账户	女状元的爸爸谈教育	17	20	女状元的
你入市了几多钱	几多钱	我有同学在这儿	16	20	同学在这儿
她是个行政的主任	个行政的主任	我们还不是可以自己活	18	26	我们还不是可以自己
我是说手机信息	手机信息	关键是他的英语水平跟我一样	24	19	nan
我是你同学	你同学	我们还不是可以自己活	18	20	以自己
你啥时来	啥时	我没见过她老公	14	14	她
文科基本上生活中有点用	生活中	他从楼上摔下来生死未卜我很难过	18	21	他从楼上
你的光环是你自己的	你自己的	所以我才有其他想法	22	23	其他
你的光环是你自己的	你自己的	我们住哪个酒店	22	21	nan
每天往返路程需要多长时间	多长	他是换全新的	22	23	新的
大雪在圣诞的时候	圣诞的时候	我有同学在这儿	22	23	这儿
你要找天线供应商	天线供应商	那你还要寄送什么推荐信	23	24	什么
社会主义不止一条路	一条路	我们公司在搞什么二十周年庆	22	26	什么二十周
她通常早上很早起来回复邮件	很早	结果我妈不停的催我	24	25	停的
目录没什么要求把	什么要求	我五点后空的	17	21	五点后空的
这就是贫富差距的显现	贫富差距的显现	老板应该是想你们回来	22	27	板应该是想你
于是我更加关注这支球队	这支	我昨天走了一个半小时	22	23	一个
我周日晚上走	周日晚上	她是个行政的主任	14	16	她是个
我们住哪个酒店	哪个酒店	这是我的微博	19	18	nan
我下个月去买车	下个月	那你俩照什么主题	18	15	nan
土地基金增强特区财政储备	特区财政储备	关键是他的英语水平跟我一样	31	26	nan
他不管这些子事	这些子事	那说明驱动没装好	15	22	那说明驱动没装好
你的光环是你自己的	你自己的	你要给我客人的护照号码和名字	20	23	我客人的
你这周先别去	这周	燃料电池的项目最近没有什么进展	23	24	什么
那你还是打印电子版的吧	电子版的	这个交通标识是什么意思	26	26	什
你叫什么名字	什么名字	我一直放低自己的底线	15	20	一直放低自己
我也正在物色这方面的人才	这方面的人才	这个男孩有些意向	22	25	这个男孩
社会主义不止一条路	一条路	她对你们都很熟悉的	17	18	对你
你手里的钱应该够了吧	你手	你在那公司里做过吧	18	18	那
我们做弱电系统	弱电系统	我五点后空的	16	20	五点后空的
你肯定是一个好爸爸	一个好爸爸	于是我更加关注这支球队	25	28	这支球队
你这周先别去	这周	只是人确实在某个时间段会很脆弱	15	19	确实在某个
她天天做你的	你的	你是什么时候来	14	6	nan
你不在一早上了	一早上	这个是小影院	17	15	nan
按照银行报表的销售额可以	银行报表	看样子这个年龄的男人很危险	31	32	危险
我们住哪个酒店	哪个酒店	这个领导可能有领导的想法吧	15	16	这个
土地基金增强特区财政储备	特区财政储备	你可以查查你们那边的	29	30	那边
他是换全新的	全新的	这个领导可能有领导的想法吧	21	22	导的
我在高铁上了	高铁上	你在那公司里做过吧	15	15	那
徒弟只能做到这个程度	这个程度	你看俺弟黑的	22	23	黑的
社会主义不止一条路	一条路	大雪在圣诞的时候	16	18	大雪在
你这周先别去	这周	这样的说法也震动了我们那个政府	23	24	那个
我没见过她老公	她老公	那说明驱动没装好	14	21	那说明驱动没装好
我在高铁上了	高铁上	双方都不会放在心里	19	19	在
灵感来自我师母	我师母	我也正在物色这方面的人才	17	18	在物
你可以查查你们那边的	你们那边	看样子这个年龄的男人很危险	29	30	危险
现在我只加了电子病历的	电子病历	对转基因的议论真的很多	19	23	对转基因的
我买了挺多肉丸的	挺多	他是换全新的	17	19	全新的
一个孩子长大怎么这么难	一个	新一轮的政治斗争又将开始	18	19	一轮
我发现你每天很有点无聊列	每天	下次他什么时候来	21	22	什么
下次他什么时候来	什么时候	我们每个人买了一个新秀丽的箱子	18	24	每个人买了一个
他不管这些子事	这些子事	那你在群里说说	15	17	那你在
我没见过她老公	她老公	我们每个人买了一个新秀丽的箱子	16	24	每个人买了一个新秀
龙猫属于夜行动物	夜行动物	我们住哪个酒店	21	20	nan
