demonstration	demon_label	test_sentence	response	attachment	structure
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The gold of the miner that had the impurities was worthless	the gold of the miner was worthless	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The thesis of the editor that had the big nose made a lot of sense	fail to follow	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The church of the bishop that had the funny eyebrows looked odd	fail to follow	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The restaurant of the chef that had the blue tiles pleased us	the restaurant of that pleased us	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The chef cooked the meal	The chef cooked	Bruce leads the rock band with his voice	bruce leads the rock band	pp	structure_2
The director of the orchestra played well	The director of played well	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	The doctor noticed the boy using big headphones	the doctor noticed the boy	pp	structure_1
The bird sang a melody	The bird sang	The coach motivated the team with inspiring words	the coach motivated the team	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The song of the singer that had long eyelashes was very smart	the song of the singer was very smart	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The writer of the letter that had blonde hair arrived this morning	the writer of that had blonde hair arrived this morning	adjunct	structure_2
The architect designed the building	The architect designed	The guy caught the rat with a trap	the guy caught	pp	structure_2
The driver steered the car	The driver steered	Dan entered the room with a key	dan entered the room	pp	structure_2
The lawyer argued the case	The lawyer argued	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The gamer played the game	The gamer played	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The dancer performed the routine	The dancer performed	Van Gogh drew the paintings with starry night	van gogh drew the paintings	pp	structure_1
The singer composed a song	The singer composed	Mom melted the chocolate with an iron pot	mom melted the chocolate	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The machine of the inventor that had the goatee was amazing	the machine of the inventor was amazing	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The house of the painter that had the small windows looked odd	the house of the small windows looked odd	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The pilot flew the airplane	The pilot flew	The magician amazed the participant with a fancy scene	the magician amazed the participant	pp	structure_2
