demonstration	demon_label	test_sentence	response	attachment	structure
The dog of the officer came back this evening	The dog of came back this evening	The gang of the criminal that had a long scar disappeared last Monday	the gang of that had a long scar disappeared last monday	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The actor memorized the script	The actor memorized	Dan entered the room with a key	dan entered the room	pp	structure_2
The musician tuned the guitar	The musician tuned	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The church of the bishop that had the funny eyebrows looked odd	fail to follow	adjunct	structure_1
The tailor altered the coat	The tailor altered	The guy caught the rat with a trap	the guy caught	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The baker baked the cake	The baker baked	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The house of the painter looked odd	The house of looked odd	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The chef cooked the meal	The chef cooked	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The detective solved the mystery	The detective solved	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The teacher explained the concept	The teacher explained	The police investigated the house with a garden	the police investigated	pp	structure_1
The architect designed the building	The architect designed	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had the big nose made a lot of sense	adjunct	structure_1
The bird sang a melody	The bird sang	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The director of the orchestra played well	The director of played well	The driver of the car that had the moustache was pretty cool	the driver of was pretty cool	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The inventor of the machine that had the goatee was amazing	fail to follow	adjunct	structure_2
The programmer wrote the code	The programmer wrote	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The singer of the song that had long eyelashes was very smart	the singer of the song was very smart	adjunct	structure_2
The carpenter built the house	The carpenter built	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate with a red rose	pp	structure_1
The student read the book	The student read	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The artist of the mural completed his work	The artist of completed his work	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
