demonstration	demon_label	test_sentence	response	attachment	structure
The pilot flew the airplane	The pilot flew	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The photographer adjusted the lens	The photographer adjusted	The magician amazed the participant with a fancy scene	the magician amazed the participant	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had the big nose made a lot of sense	adjunct	structure_1
The singer composed a song	The singer composed	Bill cut the paper with a very sharp knife	bill cut the paper	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The teacher explained the concept	The teacher explained	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The plains of the tribe looked strange	The plains of looked strange	The driver of the car that had the moustache was pretty cool	the driver of was pretty cool	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The restaurant of the chef that had the blue tiles pleased us	the restaurant of the blue tiles pleased us	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The painter of the house that had the small windows looked odd	the painter of had the small windows looked odd	adjunct	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The carpenter built the house	The carpenter built	The doctor saved the boy using a pacemaker	the doctor saved	pp	structure_2
The driver steered the car	The driver steered	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The lawyer argued the case	The lawyer argued	Dan entered the room with a window	dan entered the room	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The singer of the song that had long eyelashes was very smart	fail to follow	adjunct	structure_2
The gamer played the game	The gamer played	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The fisherman caught the trout	The fisherman caught	The police investigated the house with the permission	the police investigated	pp	structure_2
The actor memorized the script	The actor memorized	The coach led the team with three members	the coach led the team	pp	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The programmer wrote the code	The programmer wrote	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The miner of the gold that had the impurities was worthless	fail to follow	adjunct	structure_1
