demonstration	demon_label	test_sentence	response	attachment	structure
The jeweler polished the diamond	The jeweler polished	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The librarian sorted the books	The librarian sorted	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The fisherman caught the trout	The fisherman caught	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The detective solved the mystery	The detective solved	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The criminal of the gang that had a long scar disappeared last Monday	the criminal of the gang that disappeared last monday	adjunct	structure_2
The bird sang a melody	The bird sang	The professor challenged the students with his projects	the professor challenged the students	pp	structure_2
The dancer performed the routine	The dancer performed	Mom ate the chocolate with chopped nuts	mom ate the chocolate	pp	structure_1
The singer composed a song	The singer composed	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The director of the orchestra played well	The director of played well	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The miner of the gold that had the impurities was worthless	fail to follow	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The machine of the inventor that had the goatee was amazing	fail to follow	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The gamer played the game	The gamer played	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The carpenter built the house	The carpenter built	The guy caught the rat with a scar	the guy caught	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The flowers of the valley that had the old castle excited the tourists	the flowers of excited the tourists	adjunct	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The driver of the car that had the moustache was pretty cool	the driver of the car was pretty cool	adjunct	structure_2
The chef cooked the meal	The chef cooked	The doctor noticed the boy using big headphones	the doctor noticed the boy	pp	structure_1
The lawyer argued the case	The lawyer argued	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The programmer wrote the code	The programmer wrote	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
