demonstration	demon_label	test_sentence	response	attachment	structure
The baker baked the cake	The baker baked	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The student read the book	The student read	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The student solved the equation	The student solved	Mom melted the chocolate with an iron pot	mom melted	pp	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The car of the driver that had the moustache was pretty cool	the car of that had the moustache was pretty cool	adjunct	structure_1
The photographer adjusted the lens	The photographer adjusted	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The manager of the factory was efficient	The manager of was efficient	The church of the bishop that had the funny eyebrows looked odd	the church of that had the funny eyebrows looked odd	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The song of the player is really popular	The song of is really popular	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had made a lot of sense	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The painter of the house that had the small windows looked odd	the painter of had the small windows looked odd	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The writer of the letter that had blonde hair arrived this morning	fail to follow	adjunct	structure_2
The teacher explained the concept	The teacher explained	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate	pp	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The tailor altered the coat	The tailor altered	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The chef of the restaurant that had the blue tiles pleased us	the chef of the restaurant pleased us	adjunct	structure_1
The architect designed the building	The architect designed	The doctor saved the boy using a pacemaker	the doctor saved	pp	structure_2
The actor memorized the script	The actor memorized	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The gardener watered the plants	The gardener watered	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The singer of the song that had long eyelashes was very smart	the singer of that had long eyelashes was very smart	adjunct	structure_2
The journalist reported the news	The journalist reported	The coach led the team with three members	the coach led the team	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The gang of the criminal that had a long scar disappeared last Monday	the gang of that had a long scar disappeared last monday	adjunct	structure_1
The attorney of the company bothered me	The attorney of bothered me	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The baker kneaded the dough	The baker kneaded	The basketball player won the game with his team	the basketball player won	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The inventor of the machine that had the goatee was amazing	the inventor of was amazing	adjunct	structure_2
